"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"001","02-0001","AVENIDA FERNANDES LIMA, 3487","57057000","FAROL","MACEIÓ","AL"
"002","02-0002","AVENIDA FERNANDES LIMA, 3487","57052000","FAROL","MACEIÓ","AL"
"003","02-0003","AV FERNANDES LIMA, 3487","57057900","FAROL","MACEIÓ","AL"
"005","02-0005","RUA FREDERICO MAIA, S/N","57700000","CENTRO","VIÇOSA","AL"
"006","02-0006","AV PEDRO PEREIRA ACIOLI, SN","57690000","JOSE PAULINO","ATALAIA","AL"
"007","02-0007","RUA C, N. 167, CONJ. HABIT. RUBENS WANDERLEY, COM. TERCIO VANDERLEY","57230000","COMENDADOR TERCIO WANDERLEY","CORURIPE","AL"
"008","02-0008","PRAÇA MARECHAL FLORIANO PEIXOTO, 337","57150000","CENTRO","PILAR","AL"
"009","02-0009","RUA JOÃO LOPES FERREIRA, S/N - CENTRO","57820000","CENTRO","MURICI","AL"
"010","02-0010","PRAÇA DA INDEPENDÊNCIA, 252","57600010","CENTRO","PALMEIRA DOS ÍNDIOS","AL"
"011","02-0011","AVENIDA FERREIRA DE NOVAES, 949","57400000","CENTRO","PÃO DE AÇÚCAR","AL"
"012","02-0012","RUA FRANCISCO PIMENTEL, 38","57930000","CENTRO","PASSO DE CAMARAGIBE","AL"
"013","02-0013","RODOVIA ENGENHEIRO JOAQUIM GONÇALVES, 502","57200000","SANTA LUZIA","PENEDO","AL"
"014","02-0014","RUA DO VARADOURO, 531","57900000","CENTRO","PORTO CALVO","AL"
"015","02-0015","AV. PRESIDENTE FERNANDO COLLOR DE MELO,48","57100000","TABULEIRO DO PINTO","RIO LARGO","AL"
"016","02-0016","PRACA OSMAN COSTA PINO S/N","57860000","CENTRO","SÃO JOSÉ DA LAJE","AL"
"017","02-0017","RUA COELHO CAVALCANTE, 73","57920000","CENTRO","SÃO LUÍS DO QUITUNDE","AL"
"018","02-0018","RUA CEL FRANCISCO CAVALCANTE, 51","57240000","CENTRO","SÃO MIGUEL DOS CAMPOS","AL"
"019","02-0019","AV. PRESIDENTE DUTRA, N 385  BR 316","57500000","MONUMENTO","SANTANA DO IPANEMA","AL"
"020","02-0020","ISMAR DE GOES MONTEIRO S/N","57370000","CENTRO","TRAIPU","AL"
"021","02-0021","RUA MARECHAL DEODORO DA FONSECA, SEM NUMERO","57800000","CENTRO","UNIÃO DOS PALMARES","AL"
"022","02-0022","RUA GERVÁSIO DE OLIVEIRA LIMA, 147","57312630","NOVO HORIZONTE","ARAPIRACA","AL"
"026","02-0026","RUA CAPITÃO BERNARDINO SOUTO, 225","57160000","CENTRO","MARECHAL DEODORO","AL"
"027","02-0027","PRAÇA CEL JOSÉ MALTA DE SÁ, 14","57540000","CENTRO","MATA GRANDE","AL"
"028","02-0028","RUA 13 DE JUNHO, N 216","57750000","CENTRO","QUEBRANGULO","AL"
"029","02-0029","RUA 22 DE DEZEMBRO, 181","57420000","CENTRO","BATALHA","AL"
"031","02-0031","R. PROFA. MARIA JOSÉ DE R. BARROS, SN - FÓRUM ELEITORAL","57580000","CENTRO","MAJOR ISIDORO","AL"
"033","02-0033","AVENIDA FERNANDES LIMA, 3487","57057000","FAROL","MACEIÓ","AL"
"034","02-0034","RUA PEDRO CAVALCANTE, N 458","57265000","CENTRO","TEOTÔNIO VILELA","AL"
"037","02-0037","AV GOVERNADOR MOACIR ANDRADE, 621, CENTRO","57290000","CENTRO","PORTO REAL DO COLÉGIO","AL"
"039","02-0039","RUA CÔNEGO NICODEMOS, 16","57490000","CENTRO","ÁGUA BRANCA","AL"
"040","02-0040","RUA OLAVO BILAC, 318","57480000","CENTRO","DELMIRO GOUVEIA","AL"
"044","02-0044","AVENIDA PROGRESSO, N. 360.","57360000","PROGRESSO","GIRAU DO PONCIANO","AL"
"045","02-0045","RUA JURACY TENÓRIO CAVALCANTE, 53","57620000","CENTRO","IGACI","AL"
"046","02-0046","RUA CLARINDO AMORIM","57570000","CENTRO","CACIMBINHAS","AL"
"047","02-0047","AV JOÃO FERNANDES VIEIRA, 495","57250000","CENTRO","CAMPO ALEGRE","AL"
"048","02-0048","RUA LADISLAU COIMBRA, N. 128","57680000","CENTRO","BOCA DA MATA","AL"
"049","02-0049","RUA VEREADORA MARIA JOSÉ PEREIRA PACHECO, 01","57275000","CENTRO","SÃO SEBASTIÃO","AL"
"050","02-0050","RUA MANOEL MARTINS LEMOS ,120","57520000","CENTRO","MARAVILHA","AL"
"051","02-0051","AV. MANOEL MACIANO, 418","57445000","CENTRO","SÃO JOSÉ DA TAPERA","AL"
"053","02-0053","PRAÇA LAURENTINO GOMES DE BARROS, 02","57980000","CENTRO","JOAQUIM GOMES","AL"
"054","02-0054","AVENIDA FERNANDES LIMA, 3487","57057000","FAROL","MACEIÓ","AL"
"055","02-0055","RUA GERVASIO DE OLIVEIRA LIMA, N 147","57312620","NOVO HORIZONTE","ARAPIRACA","AL"
