"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"001","03-0001","RUA SENADOR LEMOS S/N","68950000","CENTRO","AMAPÁ","AP"
"002","03-0002","AV. MENDONCA JUNIOR, 1452","68900000","CENTRO","MACAPÁ","AP"
"004","03-0004","AV. BARAO DO RIO BRANCO, 151","68980000","CENTRO","OIAPOQUE","AP"
"005","03-0005","AV. INTENDENTE ALFREDO PINTO, S/N","68940000","UNIAO","MAZAGÃO","AP"
"006","03-0006","RUA D-13, QUADRA 17, S/N, LOTE 2","68926166","VILA AMAZONAS","SANTANA","AP"
"007","03-0007","AV. TANCREDO NEVES SN","68920000","AGRESTE","LARANJAL DO JARI","AP"
"008","03-0008","RUA NOSSA SENHORA DO PERPETUO SOCORRO,1660","68990000","CENTRO","TARTARUGALZINHO","AP"
"010","03-0010","AV. MARIA CAVALCANTE DE AZEVEDO PICANÇO, S/N, ATRAS DA JUSTIÇA FEDERAL","68908076","INFRAERO II","MACAPÁ","AP"
"011","03-0011","PEDRA BRANCA DO AMAPARI - RUA FRANCISCO BRAZ, S/N","68945000","CENTRO","PEDRA BRANCA DO AMAPARI","AP"
"012","03-0012","AV. MANOEL BENTO PARENTE, 325","68997000","MALVINAS","PORTO GRANDE","AP"
