"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"001","06-0001","AV. ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"002","06-0002","AV. ALMIRANTE BARROSO 601 FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"003","06-0003","AV. ALMIRANTE BARROSO, 601 - FÓRUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"004","06-0004","RUA PROFESSOR FRANCISCO DE OLIVEIRA CONDE, 716","61940085","CENTRO","MARANGUAPE","CE"
"005","06-0005","RUA PADRE ANTÔNIO PINTO, S/N (FÓRUM DA JUSTIÇA ESTADUAL)","62760000","CENTRO-SEDE","BATURITÉ","CE"
"006","06-0006","TV TIRADENTES 452 - CALCADÃO MANOEL RODRIGUES DA FONSECA","63900129","CENTRO","QUIXADÁ","CE"
"007","06-0007","AV. DR. PEDRO DE QUEIROZ FERREIRA, 2113","62850000","CENTRO","CASCAVEL","CE"
"008","06-0008","AV CORONEL ALEXANZITO, 789","62800000","CENTRO","ARACATI","CE"
"009","06-0009","AVENIDA IRMÃ MARIA DA GRAÇA, 294","62900000","CENTRO","RUSSAS","CE"
"010","06-0010","AV. 8 DE NOVEMBRO, SN, FÓRUM LOCAL","63475000","CENTRO","JAGUARIBE","CE"
"011","06-0011","RUA DR. MIGUEL PINTO, 423","63800000","CENTRO","QUIXERAMOBIM","CE"
"012","06-0012","RUA MARCIONÍLIO GOMES DE FREITAS, S/N","63600000","CENTRO","SENADOR POMPEU","CE"
"013","06-0013","RUA JOAQUIM EDILMAR AMARO, 150, BUGI","63501010","BUGI","IGUATU","CE"
"014","06-0014","RUA VICENTE VELOSO DA SILVA, S/N","63300000","VILA BANCARIA","LAVRAS DA MANGABEIRA","CE"
"015","06-0015","AV JOSEFA NOGUEIRA MONTEIRO, 1760","63430000","CENTRO","ICÓ","CE"
"016","06-0016","RUA CEL. JOSE DANTAS, S/N","63200000","BOA VISTA","MISSÃO VELHA","CE"
"017","06-0017","RUA TENENTE JOSÉ VICENTE, N. 20","62500000","BOA VISTA","ITAPIPOCA","CE"
"018","06-0018","RUA CORONEL FRANCISCO GOMES S/N","63140000","CENTRO","ASSARÉ","CE"
"019","06-0019","RUA HENRIQUETA DE ARAÚJO SERRA, N 213, TAUAZINHO","63660000","TAUAZINHO","TAUÁ","CE"
"020","06-0020","BR 226, KM 03, SN","63700000","VENANCIOS","CRATEÚS","CE"
"021","06-0021","PRAÇA SÃO SEBASTIÃO, 1020","62250000","CENTRO","IPU","CE"
"022","06-0022","RUA DR. FRANCISCO RUBENS BRANDÃO","62370000","MONS. OTALICIO","SÃO BENEDITO","CE"
"023","06-0023","AV. MAJOR SALES, 555, CENTRO","62650000","CENTRO","URUBURETAMA","CE"
"024","06-0024","AV. DR. GUARANY, 230","62042030","DERBY CLUB","SOBRAL","CE"
"025","06-0025","RUA VALDEMIRO CAVALCANTE, S/N","62430000","CENTRO","GRANJA","CE"
"026","06-0026","RUA SETE DE SETEMBRO, N 72","63250000","CENTRO","MILAGRES","CE"
"027","06-0027","RUA TEODORICO TELES NETO S/N","63125220","MIRANDÃO","CRATO","CE"
"028","06-0028","RUA INTERVENTOR ERIVANO CRUZ, 75","63010010","CENTRO","JUAZEIRO DO NORTE","CE"
"029","06-0029","AV. CEL FRANCISCO REMÍGIO, 440","62930000","CENTRO","LIMOEIRO DO NORTE","CE"
"030","06-0030","PRACA DO LICEU, S/N - FÓRUM MONSENHOR SABINO DE LIMA FEIJÃO","62580000","MONSENHOR SABINO","ACARAÚ","CE"
"031","06-0031","RUA ZUCA SAMPAIO, S/N - FÓRUM DE BARBALHA (LAT -7.31934 LON -39.30241)","63180000","VILA SANTO ANTONIO","BARBALHA","CE"
"032","06-0032","RUA SANTOS DUMONT, 1065","62400000","CENTRO","CAMOCIM","CE"
"033","06-0033","RUA CÉLIO MARTINS, 714","62700000","IMACULADA CONCEIÇÃO","CANINDÉ","CE"
"035","06-0035","PCA. DESTRINO CARNEIRO PASSOS, S/N FORUM","62300000","CENTRO","VIÇOSA DO CEARÁ","CE"
"036","06-0036","RUA PROFESSORA EDITE MOTA, 201","62670000","CENTRO","SÃO GONÇALO DO AMARANTE","CE"
"037","06-0037","AVENIDA CORONEL CORREIA 1540","61600004","CENTRO","CAUCAIA","CE"
"038","06-0038","RUA MANOEL MORAES, 83 - FÓRUM","63150000","B. CENTRO","CAMPOS SALES","CE"
"039","06-0039","RUA JOÃO FACUNDES BONFIM, 166","63640000","CENTRO","INDEPENDÊNCIA","CE"
"040","06-0040","RUA CORONEL GUILHERMINO, S/N","62230000","CENTRO","IPUEIRAS","CE"
"041","06-0041","RUA DOM AURELIANO MATOS, 1758","62600000","CENTRO-SEDE","ITAPAJÉ","CE"
"043","06-0043","RUA JOSE FACUNDO LEITE, S/N","63580000","CENTRO - SEDE","JUCÁS","CE"
"044","06-0044","RUA DR. MANOEL JOAQUIM, S/N","62150000","JOAO ALFREDO","SANTANA DO ACARAÚ","CE"
"045","06-0045","RUA RAQUELINA PONTES, 304","62140000","CENTRO","MASSAPÊ","CE"
"046","06-0046","RUA SILVINO SÁ BENEVIDES LOPES, S/N (PRÉDIO DO FÓRUM JUDICIÁRIO)","63610000","CENTRO","MOMBAÇA","CE"
"047","06-0047","RUA CEL. MANOEL HONORATO, 93","62940000","CENTRO","MORADA NOVA","CE"
"048","06-0048","RUA LEONARDO ARAUJO, S/N","62200000","PATRONATO","NOVA RUSSAS","CE"
"049","06-0049","RUA CORONEL CÍCERO NOGUEIRA 363","62870000","CENTRO","PACAJUS","CE"
"050","06-0050","RUA ANTÔNIO MARTINS BANDEIRA, S/N","62640000","ACAMPAMENTO","PENTECOSTE","CE"
"052","06-0052","RUA PADRE BARROS, N. 264 (FÓRUM DA JUSTIÇA ESTADUAL)","62790000","CENTRO (SEDE)","REDENÇÃO","CE"
"053","06-0053","AV JEREMIAS PEREIRA, S/N","63165000","CENTRO","NOVA OLINDA","CE"
"054","06-0054","RUA MONSENHOR FURTADO, 512.","62280000","CENTRO","SANTA QUITÉRIA","CE"
"055","06-0055","AV. PREF. JOSE SIFREDO PINHEIRO, 108","63620000","CENTRO","SOLONÓPOLE","CE"
"057","06-0057","RUA RAIMUNDO SIQUEIRA, 2006","61801245","CENTRO","PACATUBA","CE"
"059","06-0059","RUA FRANCISCO VIEIRA CAVALCANTE, 115","63630000","POSTO 2","PEDRA BRANCA","CE"
"060","06-0060","RUA CICERO MANDU, S/N","63560000","CENTRO","ACOPIARA","CE"
"061","06-0061","RUA JESUITA ADEODATO, S/N","63750000","CENTRO","TAMBORIL","CE"
"062","06-0062","RUA IRACI BEZERRA, 344","63540000","VARZANTE","VÁRZEA ALEGRE","CE"
"063","06-0063","RUA AGRONOMANDO RANGEL, 615","63870000","BOAVIAGINHA","BOA VIAGEM","CE"
"064","06-0064","RODOVIA CE 364, KM 61, S/N - FÓRUM DA JUSTIÇA COMUM","62160000","CENTRO","COREAÚ","CE"
"065","06-0065","RUA VER. MANOEL HONÓRIO DE BRITO, 831, QD. 73.","62184000","FÓRUM","CARIRÉ","CE"
"066","06-0066","RUA FRANCISCO CÂMARA, 144","61700000","CENTRO","AQUIRAZ","CE"
"067","06-0067","AV. TIRADENTES, 1449 CENTRO","62750000","CENTRO-SEDE","ARACOIABA","CE"
"068","06-0068","AV ANTONIO VALENTIM DE OLIVEIRA S/N","63170000","CENTRO","ARARIPE","CE"
"069","06-0069","RUA CEL. JOSE LEITE, S/N","63360000","ARACA","AURORA","CE"
"070","06-0070","AV. ANTONIO FLORENTINO DE ARAUJO LIMA, S/N","63260000","SAO FRANCISCO-SEDE","BREJO SANTO","CE"
"071","06-0071","RUA LUIZ BEZERRA, S/N","63220000","PARAÍSO","CARIRIAÇU","CE"
"072","06-0072","RUA RIACHO DO SANGUE, 786","63480000","CENTRO","JAGUARETAMA","CE"
"073","06-0073","FÓRUM ELEITORAL - RUA PROFESSORA SINHÁ MELO, S/N","62360000","PRAÇA DO ESTÁDIO","IBIAPINA","CE"
"074","06-0074","RUA PADRE BERNARDINO MEMORIA, 322","62380000","CENTRO","GUARACIABA DO NORTE","CE"
"075","06-0075","RUA CORONEL RAIMUNDO FRANCISCO, 1402","62823000","CENTRO","JAGUARUANA","CE"
"076","06-0076","RUA CAPITAO MIGUEL DANTAS, 1000","63210000","CENTRO-SEDE","MAURITI","CE"
"078","06-0078","RUA ANA NOGUEIRA LOPES, 305","62880016","GAMELEIRA","HORIZONTE","CE"
"079","06-0079","AV. JOSE CASSIMIRO DE ALBUQUERQUE, S/N, FORUM","62260000","CARÃO","RERIUTABA","CE"
"080","06-0080","AV. ALMIRANTE BARROSO 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"081","06-0081","AVENIDA MOISÉS MOITA, 555","62320000","BAIRRO PLANALTO","TIANGUÁ","CE"
"082","06-0082","FÓRUM ELEITORAL - AV. ALMIRANTE BARROSO, 601 PRAIA DE IRACEMA","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"083","06-0083","AV. ALMIRANTE BARROSO, 601 - FORUM ELEITORAL DESEMB. PERICLES RIBEIRO","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"084","06-0084","RUA JOAQUIM FACÓ, 208","62840000","NOVO PLANALTO","BEBERIBE","CE"
"085","06-0085","AV. ALMIRANTE BARROSO, 601 - FORUM ELEITORAL","60060440","PRAIA DE IRACEMA","FORTALEZA","CE"
"086","06-0086","RUA CEL. SIMPLICIO BEZERRA, 32","62970000","CENTRO","ALTO SANTO","CE"
"088","06-0088","AV. EUSÉBIO DE QUEIROZ, 4607","61760000","CENTRO","EUSÉBIO","CE"
"089","06-0089","RUA MARTINS TEIXEIRA, 1310","62540000","TORRE","AMONTADA","CE"
"091","06-0091","RUA MAIA ALARCON, 433- CENTRO","62960000","CENTRO","TABULEIRO DO NORTE","CE"
