"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"001","07-0001","SCRS 512 BLOCO B LOJA 70","70361535","ASA SUL","BRASÍLIA","DF"
"002","07-0002","QUADRA 04 CONJUNTO B LOTE 06","71570202","PARANOÁ","BRASÍLIA","DF"
"003","07-0003","SETOR QNJ AE 16 TAGUATINGA-DF","72140616","TAGUATINGA NORTE","BRASÍLIA","DF"
"004","07-0004","CL 207, LOTES A3 E A4 - SANTA MARIA","72507220","SANTA MARIA","BRASÍLIA","DF"
"005","07-0005","QUADRA 07 AREA RESERVADA 01","73035070","SOBRADINHO","BRASÍLIA","DF"
"006","07-0006","SETOR COMERCIAL CENTRAL Q.01 LOTE F","73310301","PLANALTINA","BRASÍLIA","DF"
"008","07-0008","QNM 12 - VIA NM 12 A - LOTES 02/04 - CEILANDIA CENTRO","72210120","CEILANDIA NORTE","BRASÍLIA","DF"
"009","07-0009","QI 07 LOTE C","71020006","GUARA I","BRASÍLIA","DF"
"010","07-0010","SETOR DE INDUSTRIA BERNARDO SAYAO QUADRA 2 AE 1 CONJUNTO A","71736206","NUCLEO BANDEIRANTE","BRASÍLIA","DF"
"011","07-0011","SHCES QUADRA 1409, LOTE 01","70658490","CRUZEIRO NOVO","BRASÍLIA","DF"
"013","07-0013","QR 302 CONJUNTO 13 LOTE 11 CENTRO URBANO","72300655","SAMAMBAIA","BRASÍLIA","DF"
"014","07-0014","SEPN 510 BLOCO B LOTE 7","70750522","ASA NORTE","BRASÍLIA","DF"
"015","07-0015","QD. 207 LOTE 02 - PRAÇA UIRAPURU - ÁGUAS CLARAS","72926250","AGUAS CLARAS - TAGUATINGA SUL","BRASÍLIA","DF"
"016","07-0016","EQNO 12/14 LOTE C - SETOR O - CEILÂNDIA NORTE","72255550","CEILANDIA NORTE","BRASÍLIA","DF"
"017","07-0017","ÁREA ESPECIAL 11 - SETOR CENTRAL (LADO LESTE) - GAMA/DF","72405000","SETOR CENTRAL","BRASÍLIA","DF"
"018","07-0018","SHIS QI 13, LOTE I, LAGO SUL","71635181","LAGO SUL","BRASÍLIA","DF"
"019","07-0019","ÁREA ESPECIAL 07 SETOR G NORTE","72130003","TAGUATINGA NORTE","BRASÍLIA","DF"
"020","07-0020","QNN 30, AREA ESPECIAL J, CEILANDIA SUL - CEP 72.220-310","72220310","CEILANDIA SUL","BRASÍLIA","DF"
"021","07-0021","QUADRA 205 LOTES 10 E 11","72610500","RECANTO DAS EMAS","BRASÍLIA","DF"
