"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"038","08-0038","AV. ANTÔNIO PAULINO, 470 - CASA","29890000","CENTRO","MONTANHA","ES"
"048","08-0048","AV. FRANCISCO LACERDA DE AGUIAR, 221","29303383","GILBERTO MACHADO","CACHOEIRO DE ITAPEMIRIM","ES"
"034","08-0034","AV. GETÚLIO VARGAS, 107, CAMPO GRANDE, CARIACICA/ES","29146070","CAMPO GRANDE","CARIACICA","ES"
"046","08-0046","AV. JOÃO QUIUQUI,444","29795970","CENTRO","ÁGUIA BRANCA","ES"
"054","08-0054","AV. JOSÉ SETTE, S/N, ITACIBÁ - ATENDIMENTO AO PÚBLICO 12H ÀS 18H","29150410","ITACIBÁ","CARIACICA","ES"
"012","08-0012","AV. LAURO FERREIRA PINTO, 575, CENTRO","29240000","CENTRO","ALFREDO CHAVES","ES"
"037","08-0037","AV. LIONS CLUB, 252","29780000","CENTRO","SÃO GABRIEL DA PALHA","ES"
"044","08-0044","AV. MAJOR BLEY, 45","29460000","CENTRO","BOM JESUS DO NORTE","ES"
"003","08-0003","AV. NOSSA SENHORA DA PENHA, 790","29360000","CENTRO","CASTELO","ES"
"043","08-0043","AV. SIMÃO SOARES, N 1.220, BAIRRO AREIAS NEGRAS","29345000","CENTRO","MARATAÍZES","ES"
"035","08-0035","AV. WILTON THALMATURGO SERRÃO, 48","29280000","MORADA VALE DO SOL","ICONHA","ES"
"016","08-0016","AVENIDA 17 DE FEVEREIRO, N 240","29690000","CENTRO","ITAGUAÇU","ES"
"059","08-0059","AVENIDA ABDO SAAD, N 1296, LOJAS 08, 09 E 10, JACARAÍPE, SERRA-ES","29173510","JACARAÍPE","SERRA","ES"
"025","08-0025","AVENIDA ARACRUZ, 810 (ESQUINA COM AVENIDA RUI BARBOSA)","29900399","COLINA","LINHARES","ES"
"018","08-0018","AVENIDA DEPUTADO JOÃO RIOS, 372 - AO LADO DA AUTOESCOLA IUNA","29390000","CENTRO","IÚNA","ES"
"053","08-0053","AVENIDA DES. MÁRIO DA SILVA NUNES, 1420, LOJA 2","29164044","JARDIM LIMOEIRO","SERRA","ES"
"011","08-0011","AVENIDA JOSÉ RUSCHI, 37","29650000","CENTRO","SANTA TERESA","ES"
"057","08-0057","AVENIDA NOSSA SENHORA DA PENHA, 230","29108330","IBES","VILA VELHA","ES"
"004","08-0004","AVENIDA OSCAR DE ALMEIDA GAMA, 263","29500000","CENTRO","ALEGRE","ES"
"006","08-0006","AVENIDA VITÓRIA, N.44","29705021","MARIA DAS GRAÇAS","COLATINA","ES"
"002","08-0002","AV FRANCISCO LACERDA DE AGUIAR, N. 221","29303383","GILBERTO MACHADO","CACHOEIRO DE ITAPEMIRIM","ES"
"027","08-0027","AV JONES DOS SANTOS NEVES, 264, CENTRO, AO LADO DO BANCO DO BRASIL","29960000","CENTRO","CONCEIÇÃO DA BARRA","ES"
"052","08-0052","AV JOSE MARIA VIVACQUA SANTOS, 600, (ROD NORTE SUL AO LADO GRAFITUSA)","29090160","JARDIM CAMBURI","VITÓRIA","ES"
"058","08-0058","EXTINTA","29151230","ALTO LAGE","CARIACICA","ES"
"009","08-0009","LADEIRA ROSALINA RIBEIRO NUNES, S/N, CENTRO","29640000","CENTRO","SANTA LEOPOLDINA","ES"
"036","08-0036","R. JOVINO NONATO DA CUNHA, 226, LOJA 2","29750000","CENTRO","PANCAS","ES"
"039","08-0039","R. MATIAS BARBOSA DOS SANTOS, 187","29980000","CENTRO","PINHEIROS","ES"
"041","08-0041","R ANGELO BRIOSCHI, SN","29950000","CENTRO","JAGUARÉ","ES"
"017","08-0017","RODOVIA DO SOL, 2.273 - ED. PARMAGNANI E SILVA - SALAS 04 E 05","29230000","JUSTIÇA II","ANCHIETA","ES"
"008","08-0008","RUA ANÁLIA VIEIRA DE SOUZA N 275","29600000","SÃO VICENTE","AFONSO CLÁUDIO","ES"
"014","08-0014","RUA ARLINDO VICENTE, 221","29670000","ERICINA PAGIOLA","IBIRAÇU","ES"
"047","08-0047","RUA ASPÁZIA DIAS VAREJÃO, 222, LT 28, QD G","29130013","VIANA SEDE","VIANA","ES"
"010","08-0010","RUA CANTÍDIO ROBERTO DE MORAIS, 144","29395000","NOVO HORIZONTE","IBATIBA","ES"
"021","08-0021","RUA CORONEL CONSTANTINO CUNHA, 1262","29933530","FÁTIMA ( IDEAL)","SÃO MATEUS","ES"
"055","08-0055","RUA CORONEL SODRÉ, 512","29100080","CENTRO","VILA VELHA","ES"
"023","08-0023","RUA DEOLINDO DAZÍLIO, 03","29800000","CENTRO","BARRA DE SÃO FRANCISCO","ES"
"013","08-0013","RUA EMILIANA EMERY, N 41","29560000","CENTRO","GUAÇUÍ","ES"
"020","08-0020","RUA ESAURA SFALSIN ROSA, N 15 - JEQUITIBÁ","29193084","JEQUITIBÁ","ARACRUZ","ES"
"030","08-0030","RUA EURICO SALLES, N. 230","29830000","CENTRO","NOVA VENÉCIA","ES"
"019","08-0019","RUA FENIANO MITLEG, 36","29380000","CENTRO","MUNIZ FREIRE","ES"
"026","08-0026","RUA FLORIANO PEIXOTO N. 205","29177008","SÃO JUDAS TADEU","SERRA","ES"
"005","08-0005","RUA GERVÁSIO MONTEIRO, 105, CENTRO","29400000","CENTRO","MIMOSO DO SUL","ES"
"040","08-0040","RUA GREGÓRIO ZANDONADE, 15","29375000","MARMIM","VENDA NOVA DO IMIGRANTE","ES"
"015","08-0015","RUA JOÃO BATISTA WERNERSBACH, 113","29260000","CENTRO (SEDE)","DOMINGOS MARTINS","ES"
"051","08-0051","RUA JOÃO CIPRIANO, 409, LJ 02","29920000","SÃO SEBASTIÃO","RIO BANANAL","ES"
"007","08-0007","RUA MADAME ALBERTINA HOLZ, 79","29730000","CENTRO","BAIXO GUANDU","ES"
"022","08-0022","RUA MELQUIADES FÉLIX DE SOUZA, 150, SERRAMAR","29330000","CENTRO","ITAPEMIRIM","ES"
"001","08-0001","RUA MUNIZ FREIRE, S/N - FÓRUM MUNIZ FREIRE - 3 ANDAR, CIDADE ALTA (CT)","29015140","CENTRO","VITÓRIA","ES"
"033","08-0033","RUA OTÍLIA DA COSTA, 49","29850000","CENTRO","ECOPORANGA","ES"
"024","08-0024","RUA SANTANA DO IAPÓ, N 330","29215020","MUQUIÇABA","GUARAPARI","ES"
"032","08-0032","RUA XV DE NOVEMBRO, 288","29101055","PRAIA DA COSTA","VILA VELHA","ES"
