"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"076","09-0076","AV. ARAPUÁ ESQ AV MANDAGUARI - QD 33 TL 16/18. FORUM DE RUBIATABA","76350000","SETOR BELA VISTA","RUBIATABA","GO"
"019","09-0019","AV. DR NEILOR ROLIM, QD. MOS, LT. 01","72815560","PARQUE JK","LUZIÂNIA","GO"
"124","09-0124","AV. GOIÁS, 779","75570000","SETOR ALVORADA","BOM JESUS DE GOIÁS","GO"
"020","09-0020","AV. GOIAS, ESQ. COM RUA 04 E RUA 20, S/N","76190000","JARDIM ATLÂNTICO","PALMEIRAS DE GOIÁS","GO"
"016","09-0016","AV. JOÃO PAULO II, N. 300","75528370","ERNESTINA BORGES DE ANDRADE","ITUMBIARA","GO"
"102","09-0102","AV. LÁZARO TEODORO, N 849 - ED. FÓRUM","76230000","SETOR DOS PALMARES","PIRANHAS","GO"
"006","09-0006","AV. MANOEL DIAS MARQUES, QUADRA 62, LOTE 27, FÓRUM","75850000","SETOR NOVA CAIAPONIA","CAIAPÔNIA","GO"
"094","09-0094","AV. MARANHAO C/  RUA 10, 100 - FÓRUM","76590000","SETOR ALTO ALEGRE","SÃO MIGUEL DO ARAGUAIA","GO"
"074","09-0074","AV. MATO GROSSO, N. 81","76385000","SETOR UNIVERSITARIO","GOIANÉSIA","GO"
"022","09-0022","AV. PROF. ZILDA DINIZ FONTES N 755 COM RUA 18","75650000","SETOR AEROPORTO","MORRINHOS","GO"
"135","09-0135","AV. T-7, C/ MUTIRÃO, N 371, QD.R-34, LT.1, 4 ANDAR, ED LOURENÇO OFFICE","74140110","SETOR OESTE","GOIÂNIA","GO"
"127","09-0127","AV. T-7, ESQ. COM AV. MUTIRÃO, N. 371, 4 ANDAR - SALA 404","74140110","SETOR OESTE","GOIÂNIA","GO"
"134","09-0134","AV. T-7 C/ AV. MUTIRÃO, N.371, 4 ANDAR, SL. 406, ED. LOURENÇO OFFICE","74140110","SETOR OESTE","GOIÂNIA","GO"
"136","09-0136","AV. T-7 ESQ. C/ AV. MUTIRÃO, N.371, SALA 408, ED. LOURENÇO OFFICE","74140110","SETOR OESTE","GOIÂNIA","GO"
"001","09-0001","AV. T-7 ESQ. C/ AV. MUTIRÃO N. 371 SALA 401 ED. LOURENÇO OFFICE","74140110","SETOR OESTE","GOIÂNIA","GO"
"147","09-0147","AV. T-7 ESQ. C/ AV. MUTIRÃO N. 371 SALA 410 ED. LOURENÇO OFFICE","74003010","SETOR MARISTA","GOIÂNIA","GO"
"007","09-0007","AV. TIRADENTES, ESQ. COM RUA B-1","75690000","ITANHANGA I","CALDAS NOVAS","GO"
"025","09-0025","AV BOULEVARD DOS EUCALIPTOS, ÁREA PÚBLICA MUNICIPAL 2A, QD 2","75640000","RESIDENCIAL RECANTO DOS BOSQUES","PIRACANJUBA","GO"
"085","09-0085","AV DAS OLIVEIRAS QD 23 ESQ C/ RUA 2.019","76510000","NOVO HORIZONTE","CRIXÁS","GO"
"017","09-0017","AVENIDA ANA MUNDIM DE FREITAS, QD. 71, LT. 17, N16, AEROPORTO","76330000","JARDIM AEROPORTO","JARAGUÁ","GO"
"041","09-0041","AVENIDA BRASIL, ESQUINA COM A RUA A, ÁREA 3","76420000","CENTRO","NIQUELÂNDIA","GO"
"079","09-0079","AVENIDA BRASÍLIA, QD. 61, EDIFÍCIO DO FÓRUM","76220000","SETOR AEROPORTO","FAZENDA NOVA","GO"
"045","09-0045","AVENIDA COMERCIAL, QUADRA 4-A, LOTE 01","75620000","SETOR AEROPORTO","PONTALINA","GO"
"031","09-0031","AVENIDA DOM BOSCO QD 13 LT 10/22","75180000","PARK RESID. ANCHIETA","SILVÂNIA","GO"
"029","09-0029","AVENIDA JK., QUADRA 20, LOTE 03 AO LADO DO FÓRUM","73900000","SETOR GUARANI","POSSE","GO"
"106","09-0106","AVENIDA JOSE JUNQUEIRA DE ALMEIDA 714","75813000","SETOR SAO PAULO","CAÇU","GO"
"133","09-0133","AVENIDA T-7, N 371, 4 ANDAR, EDIFÍCIO COMERCIAL LOURENÇO OFFICE","74140110","SETOR MARISTA","GOIÂNIA","GO"
"034","09-0034","AVENIDA TOCANTINS, N. 1101, SALAS 103 E 104, SHOPPING PIGALLE","76170000","CENTRO","ANICUNS","GO"
"068","09-0068","AV JOAQUIM VITAL, QD 2, LT 5, PREDIO DO FORUM","75940000","RESIDENCIAL FENIX","EDÉIA","GO"
"146","09-0146","AV T-7 COM AV CASTELO BRANCO, NR 371 SALA 409 ED LOURENÇO OFFICE","74140110","SETOR OESTE","GOIÂNIA","GO"
"002","09-0002","AV T-7 COM AV MUTIRÃO N 371 SL 402 ED. LOURENÇO OFFICE ST OESTE","74140110","SETOR OESTE","GOIÂNIA","GO"
"004","09-0004","CONJUNTO 11 HC, RUA 11, ÁREA ESPECIAL, EDIFÍCIO DO FÓRUM","72860209","NOVO GAMA","NOVO GAMA","GO"
"143","09-0143","ED. DO FÓRUM, RODOVIA GO-118","73770000","ÁREA DE EXPANSÃO URBANA","ALTO PARAÍSO DE GOIÁS","GO"
"042","09-0042","EDIFÍCIO DO FÓRUM, ÁREA ADMINISTRATIVA, MORADA DAS GARÇAS","72883757","MORADA DAS GARCAS","CIDADE OCIDENTAL","GO"
"072","09-0072","PRACA CÍVICA, EDIFÍCIO DO FÓRUM, CARTÓRIO ELEITORAL","76300000","CENTRO","CERES","GO"
"099","09-0099","PRAÇA DIOGO TELLES CAVALCANTE N 198 EDIFICIO DO FÓRUM","73790000","CENTRO","CAVALCANTE","GO"
"043","09-0043","PRACA EUGENIO SARDINHA DA COSTA S/N","75980000","CENTRO","PARAÚNA","GO"
"056","09-0056","PRACA JOAO RASSI, 87, CONJ CIDADE NOVA - ED DO FORUM","75350000","CENTRO","GUAPÓ","GO"
"044","09-0044","QA 04 MC/MR 9/11-2 PISO SLJ 203  - PREMIER SHOPPNG","73752104","SETOR LESTE","PLANALTINA","GO"
"024","09-0024","QUADRA 64, LOTE 14","72900316","CENTRO","SANTO ANTÔNIO DO DESCOBERTO","GO"
"039","09-0039","R. SEN. EMIVAL RAMOS CAIADO, S/N, FÓRUM DE ITAPACI","76360000","CENTRO","ITAPACI","GO"
"088","09-0088","RODOVIA GO-239 ESQ.C/ AV.JESUS DE NAZARÉ, EDIFÍCIO DO FÓRUM","76490000","SETOR NOVO HORIZONTE","MARA ROSA","GO"
"047","09-0047","RUA 05 ESQ COM AV. BAHIA S/N","73860000","CENTRO","SÃO DOMINGOS","GO"
"131","09-0131","RUA 06, QUADRA AE1, LT AE1","73700000","SETOR OESTE","PADRE BERNARDO","GO"
"028","09-0028","RUA 09 ESQ COM RUA 19, APM 25, LOTE 3B","72910729","JARDIM QUERÊNCIA","ÁGUAS LINDAS DE GOIÁS","GO"
"145","09-0145","RUA 10, QUADRA W,  LOTES 06/09, SETOR ARAGUAIA","74981100","SETOR ARAGUAIA","APARECIDA DE GOIÂNIA","GO"
"132","09-0132","RUA 10 QD W LT 06/09","74981100","SETOR ARAGUAIA","APARECIDA DE GOIÂNIA","GO"
"119","09-0119","RUA 10 QD W LTES 06/09, SETOR ARAGUAIA","74981100","SETOR ARAGUAIA","APARECIDA DE GOIÂNIA","GO"
"040","09-0040","RUA 10 S/N, CONJUNTO UIRAPURU, EDIFÍCIO DO FORUM","75261900","CENTRO","SENADOR CANEDO","GO"
"063","09-0063","RUA 2, N. 40 (SETOR DA JUSTIÇA)","76105000","CENTRO","FIRMINÓPOLIS","GO"
"097","09-0097","RUA 28, QUADRA 19, LOTE 1 A 12","75870000","SETOR SEBASTIAO DE FREITAS","CACHOEIRA ALTA","GO"
"077","09-0077","RUA 45 ESQ. C. RUA 56 E RUA 04 ED. DO FORUM","76680000","CENTRO","ITAPURANGA","GO"
"008","09-0008","RUA 506, N. 300, QUADRA 08, LOTES 3/4/5","75706450","SANTA CRUZ","CATALÃO","GO"
"033","09-0033","RUA 60, ÁREA ESPECIAL N.6, PRAIA DOS AMORES","72871060","2 ETAPA DO JARDIM CEU AZUL","VALPARAÍSO DE GOIÁS","GO"
"005","09-0005","RUA ADELINO RIBEIRO VASCONCELOS, Q. 01, LT. 07","75660000","SETOR PARREIRA","BURITI ALEGRE","GO"
"066","09-0066","RUA AFONSO FERREIRA, QD 49","75920000","ARANTES","SANTA HELENA DE GOIÁS","GO"
"110","09-0110","RUA ALFREDO CAMÕES DE ARAÚJO, QD. 01, LT. 12","76700000","SETOR CAMOES","MOZARLÂNDIA","GO"
"035","09-0035","RUA APOLINÁRIO LOPES DA SILVA, 70 - NOVO FÓRUM DE ARAGARÇAS","76240000","SETOR CEARA","ARAGARÇAS","GO"
"012","09-0012","RUA A QD 19 LT 02 ST AEROPORTO","76600000","AEROPORTO","GOIÁS","GO"
"141","09-0141","RUA AUGUSTO DE LIMA, QD. 06 LT. 03","75080850","MARACANANZINHO","ANÁPOLIS","GO"
"137","09-0137","RUA AUGUSTO DE LIMA, QD 06 LT 03 RESIDENCIAL VIRGINIA CORREA","75080050","MARACANANZINHO","ANÁPOLIS","GO"
"144","09-0144","RUA AUGUSTO DE LIMA, QD 06 LT 03 RESIDENCIAL VIRGINIA CORREA","75080850","MARACANANZINHO","ANÁPOLIS","GO"
"003","09-0003","RUA AUGUSTO DE LIMA, QUADRA 06 LOTE 03","75080850","RESIDENCIAL VIRGINIA CORREA","ANÁPOLIS","GO"
"087","09-0087","RUA BRIGADEIRO EDUARDO GOMES, ESQUINA COM RUA 124, ÁREA ESPECIAL","72930000","SETOR NOVA ALEXÂNIA","ALEXÂNIA","GO"
"014","09-0014","RUA CORONEL JOÃO VAZ, 04","75780000","CENTRO","IPAMERI","GO"
"054","09-0054","RUA D. PEDRO I, ESQUINA C/ JOSE BONIFACIO","75460000","SETOR SÃO PAULO","NERÓPOLIS","GO"
"105","09-0105","RUA DAS LARANJEIRAS, QUADRA 15-C, LOTE 14, SETOR AEROPORTO","73840000","CENTRO","CAMPOS BELOS","GO"
