"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"093","10-0093","AV. 12, QD 120, RUA 57 - MAIOBÃO","65137000","MAIOBAO - ZONA URBANA","PAÇO DO LUMIAR","MA"
"044","10-0044","AV. AEROPORTO, S/N, BAIRRO AEROPORTO","65680000","CENTRO - ZONA URBANA","PASSAGEM FRANCA","MA"
"028","10-0028","AV. ANTONIO GUIMARÃES (MA-034), S/N","65620000","BAIRRO OLHO DAGUINHA- ZONA URBANA","COELHO NETO","MA"
"087","10-0087","AV. AZEVEDO FILHO, SETOR 1, ZONA NORTE.","65706000","CENTRO ZONA URBANA","OLHO D'ÁGUA DAS CUNHÃS","MA"
"102","10-0102","AV. CASTELO BRANCO, S/N","65716000","CENTRO-ZONA URBANA","PAULO RAMOS","MA"
"029","10-0029","AV. CORONEL RAIMUNDO MOREIRA LIMA, S/N, CEP 65690-000","65690000","GUANABARA-ZONA URBANA","COLINAS","MA"
"099","10-0099","AV. DEPUTADO LA ROQUE,  1412 - CENTRO","65923000","CENTRO - ZONA URBANA","AMARANTE DO MARANHÃO","MA"
"071","10-0071","AV. DR. JOSE EDILSON CARIDADE RIBEIRO, S/N","65930000","RESIDENCIAL TROPICAL - ZONA URBANA","AÇAILÂNDIA","MA"
"098","10-0098","AV. DR. JOSÉ EDILSON CARIDADE RIBEIRO, S/N","65930000","RESIDENCIAL TROPICAL - ZONA URBANA","AÇAILÂNDIA","MA"
"047","10-0047","AV. GARRASTAZU MEDICI, S/N","65110000","CAMPINA - ZONA URBANA","SÃO JOSÉ DE RIBAMAR","MA"
"080","10-0080","AV. JOÃO MORAES DE SOUSA, 722, CENTRO","65272000","CENTRO - ZONA URBANA","SANTA LUZIA DO PARUÁ","MA"
"030","10-0030","AV. JOSÉ BRUNO DE BARROS N . 1268","65255000","CENTRO - ZONA URBANA","GUIMARÃES","MA"
"081","10-0081","AV. MUNDICO MORAIS, 872 - CENTRO","65645000","CENTRO - ZONA URBANA","MATÕES","MA"
"107","10-0107","AVENIDA 7 DE SETEMBRO, S/N,","65270000","CENTRO - ZONA URBANA","BACURI","MA"
"013","10-0013","AVENIDA BARÃO DE CAPANEMA, 65","65700000","CENTRO - ZONA URBANA","BACABAL","MA"
"066","10-0066","AVENIDA BARÃO DE CAPANEMA, 65, CENTRO,","65700000","CENTRO - ZONA URBANA","BACABAL","MA"
"001","10-0001","AVENIDA DANIEL DE LA TOUCHE, 2800","65074115","COHAMA - ZONA URBANA","SÃO LUÍS","MA"
"010","10-0010","AVENIDA DANIEL DE LA TOUCHE, 2800","65025015","COHAMA - ZONA URBANA","SÃO LUÍS","MA"
"076","10-0076","AVENIDA DANIEL DE LA TOUCHE, 2800, LUSITANA MALL","65074115","COHAMA - ZONA URBANA","SÃO LUÍS","MA"
"002","10-0002","AVENIDA DANIEL DE LA TOUCHE, 2800  - LUSITANA MALL- COHAMA","65074115","COHAMA - ZONA URBANA","SÃO LUÍS","MA"
"017","10-0017","AVENIDA DOMINGOS SERTÃO, S/N,","65870000","SÃO JOSÉ ZONA URBANA","PASTOS BONS","MA"
"106","10-0106","AVENIDA FREDERICO PEIXOTO, SN, CENTRO","65200000","CENTRO-ZONA URBANA","PINHEIRO","MA"
"036","10-0036","AVENIDA IMPERATRIZ 149","65640000","CENTRO - ZONA URBANA","PARNARAMA","MA"
"089","10-0089","AVENIDA JERÔNIMO DE ALBUQUERQUE, S/N","65025902","COHAMA - ZONA URBANA","SÃO LUÍS","MA"
"035","10-0035","AVENIDA JOÃO PESSOA, S/N","65708000","CENTRO-ZONA URBANA","SÃO LUÍS GONZAGA DO MARANHÃO","MA"
"005","10-0005","AVENIDA NORTE - SUL, LOTE 1","65606170","CAMPO DE BELEM","CAXIAS","MA"
