"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"180","13-0180","ALAMEDA ANTONIO DE OLIVEIRA NETO, 295","39500000","ESPLANADA","MONTE AZUL","MG"
"206","13-0206","ALAMEDA DAS BOUGANVILHAS, 77-A","35774000","JARDIM CLARA NUNES","PARAOPEBA","MG"
"157","13-0157","ALAMEDA DRA VILMA EDELWEISS SANTOS, 65, SALA 102","33400000","LUNDCEIA","LAGOA SANTA","MG"
"297","13-0297","AV. 07, 335, CENTRO","38240000","CENTRO","ITAPAGIPE","MG"
"209","13-0209","AV. ARLINDO FIGUEIREDO, N. 850, SALA 112","37902026","JARDIM CONTINENTAL","PASSOS","MG"
"199","13-0199","AV. BARÃO DO RIO BRANCO, 168","37570000","CENTRO","OURO FINO","MG"
"143","13-0143","AV. BENEDITO VALADARES, 52","35830000","CENTRO","JABOTICATUBAS","MG"
"306","13-0306","AV. CAMPOS ELÍSEOS, 191","37466000","CENTRO","ITAMONTE","MG"
"126","13-0126","AV. CARLOS FULGENCIO N. 440","38950000","SANTA CRUZ","IBIÁ","MG"
"295","13-0295","AV. CASTELO BRANCO, 250, SALA 10, CAC","38780000","INDEPENDENCIA","VAZANTE","MG"
"034","13-0034","AV. CONTORNO, 7.038","30110048","LOURDES","BELO HORIZONTE","MG"
"028","13-0028","AV. CONTORNO, 7038","30110048","LOURDES","BELO HORIZONTE","MG"
"031","13-0031","AV. DO CONTORNO, 7038","30110048","LOURDES","BELO HORIZONTE","MG"
"039","13-0039","AV. DO CONTORNO, 7038","30110048","LOURDES","BELO HORIZONTE","MG"
"027","13-0027","AV. DO CONTORNO, 7038, 2 ANDAR","30110048","LOURDES","BELO HORIZONTE","MG"
"035","13-0035","AV. DO CONTORNO, 7038 - 10 ANDAR","30110048","LOURDES","BELO HORIZONTE","MG"
"029","13-0029","AV. DO CONTORNO, 7038  3. ANDAR","30110048","LOURDES","BELO HORIZONTE","MG"
"332","13-0332","AV. DO CONTORNO, 7038 - 6 ANDAR","30110048","LOURDES","BELO HORIZONTE","MG"
"343","13-0343","AV. DOM INOCÊNCIO, 143","37210000","CENTRO","ITUMIRIM","MG"
"111","13-0111","AV. DR. CARLOS BARBUTO, 01 - FORUM GREGÓRIO R. CALDAS","36855000","CENTRO","EUGENÓPOLIS","MG"
"260","13-0260","AV. DR. DELFIM MOREIRA, 1146","37950000","CENTRO","SÃO SEBASTIÃO DO PARAÍSO","MG"
"025","13-0025","AV. DR. JAIME DO REGO MACEDO, 41/ 3 ANDAR","36200032","CENTRO","BARBACENA","MG"
"291","13-0291","AV. GERCINO COUTINHO, 171","38170000","CENTRO","PERDIZES","MG"
"309","13-0309","AV. GETÚLIO VARGAS, 155","39205000","PARQUE DIADORIM","TRÊS MARIAS","MG"
"156","13-0156","AV. GETULIO VARGAS, 526-B","35590000","CENTRO","LAGOA DA PRATA","MG"
"234","13-0234","AV. GETULIO VARGAS, 69","35370000","CENTRO","RIO CASCA","MG"
"270","13-0270","AV. GETÚLIO VARGAS, 949","39800015","CENTRO","TEÓFILO OTONI","MG"
"275","13-0275","AV. GOVERNADOR VALADARES, 786","36500000","CENTRO","UBÁ","MG"
"056","13-0056","AV. JAIR DANTAS, 216","34800000","JOSE BRANDAO","CAETÉ","MG"
"168","13-0168","AV. JK, N 454","36970000","CIDADE JARDIM","MANHUMIRIM","MG"
"093","13-0093","AV. JOAO CESAR DE OLIVEIRA, 1434","32310000","ELDORADO","CONTAGEM","MG"
"313","13-0313","AV. JOAO CESAR DE OLIVEIRA, 1434","32310000","ELDORADO","CONTAGEM","MG"
"090","13-0090","AV. JOÃO CÉSAR DE OLIVEIRA, 1434 - 1ANDAR","32310000","ELDORADO","CONTAGEM","MG"
"196","13-0196","AV. JÚLIO CAMPOS, 562, SALA 02 A, (CONDOMÍNIO VITAL BRASIL), CENTRO","39820000","CENTRO","NOVO CRUZEIRO","MG"
"197","13-0197","AV. MARACANÃ, 410","35540000","CENTRO","OLIVEIRA","MG"
"318","13-0318","AV. MINAS GERAIS, 972","35010151","CENTRO","GOVERNADOR VALADARES","MG"
"285","13-0285","AV. NEWTON GONCALVES PEREIRA, 387 - SALA 106","39290000","CENTRO","SÃO ROMÃO","MG"
"117","13-0117","AV. OITO DE DEZEMBRO, 849","35250000","CENTRO","GALILÉIA","MG"
"203","13-0203","AV. OLEGÁRIO MACIEL, 193","38600000","CENTRO","PARACATU","MG"
"055","13-0055","AV. PREFEITO DUVIVIER DA SILVA PASSOS, 26","37880000","SAO JUDAS TADEU","CABO VERDE","MG"
"227","13-0227","AV. PREFEITO OLAVO GOMES DE OLIVEIRA, 2.910","37558700","RESIDENCIAL SANTA RITA","POUSO ALEGRE","MG"
"349","13-0349","AV. PRESIDENTE ITAMAR FRANCO, 1418","36016320","CENTRO","JUIZ DE FORA","MG"
"315","13-0315","AV. PRESIDENTE ITAMAR FRANCO, 1418/ 5 ANDAR","36016320","CENTRO","JUIZ DE FORA","MG"
"152","13-0152","AV. PRESIDENTE ITAMAR FRANCO, 1418 - 5 ANDAR","36016320","CENTRO","JUIZ DE FORA","MG"
"137","13-0137","AV. PROFESSOR BRITO, 365","37464000","CENTRO","ITANHANDU","MG"
"263","13-0263","AV. RAQUEL TEIXEIRA VIANA, 648","35700293","CANAAN","SETE LAGOAS","MG"
"264","13-0264","AV. RAQUEL TEIXEIRA VIANA, 648","35700293","CANAAN","SETE LAGOAS","MG"
"322","13-0322","AV. RAQUEL TEIXEIRA VIANA, 648","35700293","CANAAN","SETE LAGOAS","MG"
"005","13-0005","AV. RAUL SOARES, 456","35200000","CENTRO","AIMORÉS","MG"
"246","13-0246","AV. RAUL TEIXEIRA DA COSTA SOBRINHO, 270 - LJ 03","33010360","CAMELOS","SANTA LUZIA","MG"
"050","13-0050","AV. RUI BARBOSA, 356","39330000","CENTRO","BRASÍLIA DE MINAS","MG"
"248","13-0248","AV. SINHÁ MOREIRA, 270","37540000","CENTRO","SANTA RITA DO SAPUCAÍ","MG"
"218","13-0218","AV. TIRADENTES, 300","39270000","CENTRO","PIRAPORA","MG"
"279","13-0279","AV. VASCONCELOS COSTA, 1.646","38400452","OSVALDO REZENDE","UBERLÂNDIA","MG"
"335","13-0335","AV. VASCONCELOS COSTA, 1.646","38400452","OSVALDO REZENDE","UBERLÂNDIA","MG"
"299","13-0299","AV. VASCONCELOS COSTA, 1646","38400452","OSVALDO REZENDE","UBERLÂNDIA","MG"
"314","13-0314","AV. VASCONCELOS COSTA, 1646","38400452","OSVALDO REZENDE","UBERLÂNDIA","MG"
"130","13-0130","AV. ZITA SOARES DE OLIVEIRA, 134","35160007","CENTRO","IPATINGA","MG"
"131","13-0131","AV. ZITA SOARES DE OLIVEIRA, 134","35160007","CENTRO","IPATINGA","MG"
"033","13-0033","AV DO CONTORNO, 7038","30110048","LOURDES","BELO HORIZONTE","MG"
"302","13-0302","AVENIDA 111, 465","38360000","CENTRO","CAPINÓPOLIS","MG"
"008","13-0008","AVENIDA AFONSO PENA, 448","37130183","CENTRO","ALFENAS","MG"
"121","13-0121","AVENIDA ALBERTO CALDEIRA, 20 F","39740000","CENTRO","GUANHÃES","MG"
"081","13-0081","AVENIDA ARAGUAIA, 81, SALA 03","35530000","CENTRO","CLÁUDIO","MG"
"021","13-0021","AVENIDA ARMANDO FRANCO, 186 - SALAS/36, 38 E 40","38900000","CENTRO","BAMBUÍ","MG"
"174","13-0174","AVENIDA BENTO GONÇALVES, 260, CENTRO, MATOZINHOS-MG","35720000","CENTRO","MATOZINHOS","MG"
"004","13-0004","AVENIDA BIAS FORTES, 06 A","39880000","CENTRO","ÁGUAS FORMOSAS","MG"
"312","13-0312","AVENIDA BRASILIA,1067,SAO BENEDITO","33120563","SÃO BENEDITO","SANTA LUZIA","MG"
"142","13-0142","AVENIDA CAMPINA VERDE, 759","38280000","CENTRO","ITURAMA","MG"
"267","13-0267","AVENIDA CUNHA, 11","35140000","CENTRO","TARUMIRIM","MG"
"030","13-0030","AVENIDA DO CONTORNO, 7038","30110048","LOURDES","BELO HORIZONTE","MG"
"037","13-0037","AVENIDA DO CONTORNO, 7038","30110048","LOURDES","BELO HORIZONTE","MG"
"331","13-0331","AVENIDA DO CONTORNO, 7038","30110048","LOURDES","BELO HORIZONTE","MG"
"032","13-0032","AVENIDA DO CONTORNO, 7038, 2 ANDAR, BAIRRO LOURDES, BELO HORIZONTE/MG","30110048","LOURDES","BELO HORIZONTE","MG"
"026","13-0026","AVENIDA DO CONTORNO, 7038 - 4 ANDAR","30110048","LOURDES","BELO HORIZONTE","MG"
"023","13-0023","AVENIDA DOUTOR JAYME DO RÊGO MACEDO, 41 - 1 ANDAR","36200032","CENTRO","BARBACENA","MG"
"109","13-0109","AVENIDA DR. JOSÉ CANGUSSU, 148","39510000","CENTRO","ESPINOSA","MG"
"024","13-0024","AVENIDA DR JAIME DO REGO MACEDO, 41  - 2 ANDAR","36200032","CENTRO","BARBACENA","MG"
"268","13-0268","AVENIDA FRANCISCO PENA, 80","36580000","CENTRO","TEIXEIRAS","MG"
"269","13-0269","AVENIDA GETÚLIO VARGAS, 949 - 1. ANDAR","39800015","CENTRO","TEÓFILO OTONI","MG"
"211","13-0211","AVENIDA JOÃO ALVES DO NASCIMENTO, 1508  - SALA 201","38740000","CENTRO","PATROCÍNIO","MG"
"017","13-0017","AVENIDA JOÃO PAULO II, N 1770","38184122","GUILHERMINA VIEIRA CHAER","ARAXÁ","MG"
"118","13-0118","AVENIDA MINAS GERAIS, 972/976","35010151","CENTRO","GOVERNADOR VALADARES","MG"
"119","13-0119","AVENIDA MINAS GERAIS 972 CENTRO","35010151","CENTRO","GOVERNADOR VALADARES","MG"
"139","13-0139","AVENIDA MINISTRO GABRIEL PASSOS, 04, CENTRO","35550000","CENTRO","ITAPECERICA","MG"
"192","13-0192","AVENIDA MONSENHOR LUIZ DE GONZAGA, 432/434","37250000","CENTRO","NEPOMUCENO","MG"
"125","13-0125","AVENIDA PREFEITO ANIBAL RIBEIRO DO VALE,150 - VILA SANTO ANTÔNIO","37800000","VILA SANTO ANTÔNIO","GUAXUPÉ","MG"
"153","13-0153","AVENIDA PRESIDENTE ITAMAR FRANCO, 1420","36016320","CENTRO","JUIZ DE FORA","MG"
"250","13-0250","AVENIDA RUI BARBOSA, 422 - LJ 01","36240000","CENTRO","SANTOS DUMONT","MG"
"001","13-0001","AVENIDA SIMÃO DA CUNHA, 295","35620000","CENTRO","ABAETÉ","MG"
"278","13-0278","AVENIDA VASCONCELOS COSTA, 1.646","38400452","OSVALDO REZENDE","UBERLÂNDIA","MG"
"179","13-0179","AVENIDA VIRGÍLIO DE ALVIM, 135","38475000","CENTRO","MONTE ALEGRE DE MINAS","MG"
"348","13-0348","AVENIDA ZITA SOARES DE OLIVEIRA, 134","35160007","CENTRO","IPATINGA","MG"
"160","13-0160","AV ERNESTO MATIOLLI, 1171","37200000","JARDIM BELA VISTA","LAVRAS","MG"
"091","13-0091","AV JOAO CESAR DE OLIVEIRA 1434","32310000","ELDORADO","CONTAGEM","MG"
"011","13-0011","PCA. DR. MIGUEL BATISTA VIEIRA, S/N","36260000","CENTRO","ALTO RIO DOCE","MG"
"176","13-0176","PRAÇA BENEDITO VALADARES, 200","35116000","CENTRO","MESQUITA","MG"
"249","13-0249","PRAÇA BENEDITO VALADARES, 64","35560000","CENTRO","SANTO ANTÔNIO DO MONTE","MG"
"195","13-0195","PRAÇA CAPITÃO JOAQUIM ANACLETO, 206","37860000","CENTRO","NOVA RESENDE","MG"
"293","13-0293","PRAÇA CASTORINO DE SOUZA, 364","37970000","CENTRO","PRATÁPOLIS","MG"
"043","13-0043","PRAÇA CORONEL NEVES, 491/493","37170000","CENTRO","BOA ESPERANÇA","MG"
"058","13-0058","PRAÇA CORONEL ORESTES NÓBREGA, 11","37650000","CENTRO","CAMANDUCAIA","MG"
"230","13-0230","PRAÇA DA BANDEIRA, 10","38750000","CENTRO","PRESIDENTE OLEGÁRIO","MG"
"138","13-0138","PRAÇA DA MATRIZ, 89, CENTRO, ITANHOMI/MG","35120000","CENTRO","ITANHOMI","MG"
"237","13-0237","PRAÇA DOUTOR BENEDITO VALADARES, 220","39530000","CENTRO","RIO PARDO DE MINAS","MG"
"239","13-0239","PRAÇA DR. ÚLTIMO DE CARVALHO, 234","36180000","CENTRO","RIO POMBA","MG"
"262","13-0262","PRAÇA FLORIANO PEIXOTO, 66, SERRO","39150000","CENTRO","SERRO","MG"
"183","13-0183","PRAÇA FRANCISCO AVELINO TOLEDO LIMA, S/N","37580000","CENTRO","MONTE SIÃO","MG"
"208","13-0208","PRAÇA FRANCISCO SALES, 26","35537000","CENTRO","PASSA TEMPO","MG"
"201","13-0201","PRAÇA GETÚLIO VARGAS, 52","36750000","CENTRO","PALMA","MG"
"073","13-0073","PRAÇA GETULIO VARGAS, 68","39864000","CENTRO","CARLOS CHAGAS","MG"
"104","13-0104","PRAÇA GETÚLIO VARGAS, N. 183-A","35610000","CENTRO","DORES DO INDAIÁ","MG"
"010","13-0010","PRACA JOSE CARVALHO FARIA, 144","37940000","ROSÁRIO","ALPINÓPOLIS","MG"
"047","13-0047","PRAÇA JOSÉ DE FREITAS MARQUES, 145","35480000","CENTRO","BONFIM","MG"
"065","13-0065","PRAÇA JOSINO DE BRITO, N 262","37160000","CENTRO","CAMPOS GERAIS","MG"
"162","13-0162","PRACA JUSCELINO KUBITSCHEK, N. 124,","36140000","CENTRO","LIMA DUARTE","MG"
"014","13-0014","PRAÇA MANOEL TEODORO, 41","37300000","ROSÁRIO","ANDRELÂNDIA","MG"
"342","13-0342","PRAÇA PLATÃO, 399 - CENTRO","39495000","CENTRO","MONTALVÂNIA","MG"
"212","13-0212","PRAÇA PREFEITO SIMÃO CARLOS PEREIRA, 234","39700000","CENTRO","PEÇANHA","MG"
"226","13-0226","PRAÇA RAIMUNDO BOAVENTURA COSTA, 25","39520000","VILA KENNEDY","PORTEIRINHA","MG"
"200","13-0200","PRAÇA REINALDO ALVES DE BRITO, 38","35400000","CENTRO","OURO PRETO","MG"
"099","13-0099","PRAÇA SANTO ANTÔNIO, 15","37476000","CENTRO","CRISTINA","MG"
"116","13-0116","PRAÇA SETE DE SETEMBRO, 200, SALA 105","38200000","CENTRO","FRUTAL","MG"
"054","13-0054","PRAÇA TOVAL DA COSTA SAMPAIO, 71","39230000","CENTRO","BUENÓPOLIS","MG"
"225","13-0225","R. HUGO SAPORETTI, 48","35430202","GUARAPIRANGA","PONTE NOVA","MG"
"253","13-0253","R. JOÃO JUNQUEIRA MEIRELES, 84","37490000","CENTRO","SÃO GONÇALO DO SAPUCAÍ","MG"
"327","13-0327","R. JOÃO SOARES DE SOUZA, N.730","38970000","CENTRO","CAMPOS ALTOS","MG"
"320","13-0320","R. MAJOR SAINT CLAIR, 1.003 - CENTRO","38680000","CENTRO","ARINOS","MG"
"210","13-0210","R. OLEGÁRIO MACIEL, 203 / SL. 806","38700122","CENTRO","PATOS DE MINAS","MG"
"217","13-0217","R. SANTA EFIGÊNIA, S/N","36480000","CENTRO","PIRANGA","MG"
"350","13-0350","R. SÃO PAULO, 653","37701012","CENTRO","POÇOS DE CALDAS","MG"
"345","13-0345","R. SOFIA LOURES FELIPE, 10","37775000","RIO CLARO","SANTA RITA DE CALDAS","MG"
"333","13-0333","R ALCINDO VIEIRA, 67","30640100","BARREIRO","BELO HORIZONTE","MG"
"141","13-0141","RUA 24, N. 678, CENTRO","38300078","CENTRO","ITUIUTABA","MG"
"255","13-0255","RUA 31 DE DEZEMBRO, 308","39430000","CENTRO","SÃO JOÃO DA PONTE","MG"
"036","13-0036","RUA ALCINDO VIEIRA, 67","30640100","BARREIRO DE BAIXO","BELO HORIZONTE","MG"
"167","13-0167","RUA AMARAL FRANCO, 261","36900000","CENTRO","MANHUAÇU","MG"
"147","13-0147","RUA AMÉRICO SOARES, 751","39440000","CENTRO","JANAÚBA","MG"
"046","13-0046","RUA ANTÔNIO CARLOS DE CARVALHO, 72","37220000","SÃO JOSÉ","BOM SUCESSO","MG"
"071","13-0071","RUA ANTONIO CIMINI, 151","35300275","SANTA ZITA","CARATINGA","MG"
"072","13-0072","RUA ANTÔNIO CIMINI, 151","35300275","SANTA ZITA","CARATINGA","MG"
"298","13-0298","RUA ANTÔNIO MARTINS, 70","35519000","CENTRO","NOVA SERRANA","MG"
"171","13-0171","RUA ANTÔNIO OLINTO,  47. CEP 35.420-000. CENTRO - MARIANA.","35420000","CENTRO","MARIANA","MG"
"134","13-0134","RUA ANTONIO SIMAO MAUAD, 137","37500180","CENTRO","ITAJUBÁ","MG"
"189","13-0189","RUA APARECIDA, 130","37890000","CENTRO","MUZAMBINHO","MG"
"009","13-0009","RUA ARGEMIRO AGUILAR, 425 - CENTRO","39900000","CENTRO","ALMENARA","MG"
"007","13-0007","RUA ARISTÓTELES LOBO, N 75","36660000","SAO JOSE","ALÉM PARAÍBA","MG"
"113","13-0113","RUA ARTHUR COUTO, 158","35800000","PADRE ALBERTO","FERROS","MG"
"096","13-0096","RUA ARTUR BERNARDES, 12","38550000","CENTRO","COROMANDEL","MG"
"188","13-0188","RUA ARTUR LOBATO, 118 - CENTRO","36955000","CENTRO","MUTUM","MG"
"324","13-0324","RUA BAHIA, 585","38660000","CENTRO","BURITIS","MG"
"136","13-0136","RUA BARÃO DO RIO BRANCO, 294.","39830000","CENTRO","ITAMBACURI","MG"
"231","13-0231","RUA BELCHIOR, 260","35350000","CENTRO","RAUL SOARES","MG"
"078","13-0078","RUA BELO HORIZONTE,75","37980000","CENTRO","CÁSSIA","MG"
"294","13-0294","RUA BERNARDINO CARVALHAIS, 179","39170000","CENTRO","RIO VERMELHO","MG"
"087","13-0087","RUA BRASIL, 53","36400000","CENTRO","CONSELHEIRO LAFAIETE","MG"
"088","13-0088","RUA BRASIL, 53","36400000","CENTRO","CONSELHEIRO LAFAIETE","MG"
"205","13-0205","RUA BUENO DE PAIVA, 250","37660000","CENTRO","PARAISÓPOLIS","MG"
"169","13-0169","RUA CABO LEONCIO - 102","35290000","CENTRO","MANTENA","MG"
"069","13-0069","RUA CAPARAÓ, 154","36800000","CENTRO","CARANGOLA","MG"
"107","13-0107","RUA CAPITÃO AMÉRICO TAVEIRA, 189, LOJA 01","36555000","CENTRO","ERVÁLIA","MG"
"258","13-0258","RUA CAPITÃO BRAZ, N 107, CENTRO","36680000","CENTRO","SÃO JOÃO NEPOMUCENO","MG"
"077","13-0077","RUA CAPITÃO JOÃO EVARISTO - 259","37150000","JARDIM AMÉRICA","CARMO DO RIO CLARO","MG"
"151","13-0151","RUA CAPITÃO SANCHO, 615","38770000","CENTRO","JOÃO PINHEIRO","MG"
"257","13-0257","RUA CEL. ANTÔNIO BORGES DO AMARAL, 525","39705000","CENTRO","SÃO JOÃO EVANGELISTA","MG"
"149","13-0149","RUA CEL. RAMIRO PEREIRA, 225","39960000","CENTRO","JEQUITINHONHA","MG"
"346","13-0346","RUA CEL. SERAFIM PEREIRA, 197","37445000","CENTRO","CRUZÍLIA","MG"
"044","13-0044","RUA CELESTINO JOSÉ , 67","39390000","CENTRO","BOCAIÚVA","MG"
"216","13-0216","RUA CIRIACO CAPITALUCCI, 181","37260000","CENTRO","PERDÕES","MG"
"310","13-0310","RUA CLAUDIO MANOEL DA COSTA ,S/N","39260000","PINLAR","VÁRZEA DA PALMA","MG"
"094","13-0094","RUA COMENDADOR LAFETÁ, N. 778","39340000","CENTRO","CORAÇÃO DE JESUS","MG"
"128","13-0128","RUA CORONEL ANTONIO FERNANDES,92","35330000","CENTRO","INHAPIM","MG"
"215","13-0215","RUA CORONEL CÂNDIDO VIANA, 220","33600000","CENTRO","PEDRO LEOPOLDO","MG"
"281","13-0281","RUA CORONEL JOSÉ ALVES, 170","37010540","VILA PINTO","VARGINHA","MG"
"006","13-0006","RUA CORONEL OSWALD, 108","37450000","CENTRO","AIURUOCA","MG"
"300","13-0300","RUA CORONEL PORTUGAL, 32, CENTRO","37545000","CENTRO","CACHOEIRA DE MINAS","MG"
"095","13-0095","RUA CORONEL RICARDO GREGÓRIO, 232, CENTRO.(EM FRENTE A PRAÇA DA FONTE)","39200000","CENTRO","CORINTO","MG"
"083","13-0083","RUA DANIEL DE CARVALHO, 189","35860000","CENTRO","CONCEIÇÃO DO MATO DENTRO","MG"
"059","13-0059","RUA DAVID BUENO, 48","37600000","JARDIM SAO BENEDITO","CAMBUÍ","MG"
"003","13-0003","RUA DEMERVAL PIMENTA, 90, CENTRO","35147000","CENTRO","AÇUCENA","MG"
"351","13-0351","RUA DEOLINDO FERREIRA DINIZ, 68","32400236","CENTRAL PARK","IBIRITÉ","MG"
"288","13-0288","RUA DEOLINDO FERREIRA DINIZ, 68, CENTRAL PARK","32400000","CENTRAL PARK","IBIRITÉ","MG"
