"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"039","12-0039","AV. GENÁRIO DA COSTA MATOS, N 730, CENTRO","79790000","CENTRO","DEODÁPOLIS","MS"
"002","12-0002","AV. IGUATEMI, 159","79950000","CENTRO","NAVIRAÍ","MS"
"049","12-0049","AV. JUSCELINO KUBITSCHEK N 1495","79210000","CENTRO","ANASTÁCIO","MS"
"032","12-0032","AV. NELSON LYRIO, 2354","79180000","CENTRO","RIBAS DO RIO PARDO","MS"
"021","12-0021","AVENIDA DOM PEDRO II, 240","79480000","CENTRO","RIO VERDE DE MATO GROSSO","MS"
"023","12-0023","AVENIDA JÚLIO MAIA, N. 1174, SALA 04","79680000","CENTRO","ÁGUA CLARA","MS"
"048","12-0048","AVENIDA MATO GROSSO DO SUL, 395","79560000","PARQUE UNIÃO","CHAPADÃO DO SUL","MS"
"018","12-0018","R. MONTESE, 435","79814540","JARDIM LONDRINA","DOURADOS","MS"
"043","12-0043","R. MONTESE, 435","79804540","JARDIM LONDRINA","DOURADOS","MS"
"011","12-0011","R RIO BRILHANTE, N 1114","79130000","VILA MARIA","RIO BRILHANTE","MS"
"028","12-0028","RUA 15 DE NOVEMBRO, 215 - CENTRO","79940000","CENTRO","CAARAPÓ","MS"
"015","12-0015","RUA 7 DE SETEMBRO, 861","79380000","CENTRO","MIRANDA","MS"
"009","12-0009","RUA ALFREDO JUSTINO, 1100","79603000","BAIRRO CENTRO","TRÊS LAGOAS","MS"
"051","12-0051","RUA ALFREDO JUSTINO, 1100","79602090","BAIRRO CENTRO","TRÊS LAGOAS","MS"
"022","12-0022","RUA AMAZONAS, N. 214","79240000","BAIRRO ANGÉLICA","JARDIM","MS"
"001","12-0001","RUA ANTÔNIO MARTINS DUTRA, N. 1521","79990000","CENTRO","AMAMBAI","MS"
"003","12-0003","RUA ANTÔNIO PAULINO, 445","79540000","CENTRO","CASSILÂNDIA","MS"
"016","12-0016","RUA APPA ,101","79150000","CENTRO","MARACAJU","MS"
"034","12-0034","RUA ARTHUR BERNARDES, 4032","79430000","CENTRO","BANDEIRANTES","MS"
"019","12-0019","RUA BALTAZAR SALDANHA, 1591","79904204","DA SAUDADE","PONTA PORÃ","MS"
"052","12-0052","RUA BALTAZAR SALDANHA, 1591","79904204","JARDIM IPANEMA","PONTA PORÃ","MS"
"041","12-0041","RUA BARTOLOMEU VIANA CAVALCANTE, 183, JARDIM CAMARGO","79670000","CENTRO","BRASILÂNDIA","MS"
"020","12-0020","RUA CORONEL PONCE, 439","79280000","CENTRO","PORTO MURTINHO","MS"
"026","12-0026","RUA DA SAUDADE, 1048","79415000","CENTRO","SONORA","MS"
"008","12-0008","RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180","79037106","PARQUE DOS PODERES","CAMPO GRANDE","MS"
"035","12-0035","RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180","79037106","JARDIM VERANEIO","CAMPO GRANDE","MS"
"036","12-0036","RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180","79037106","PARQUE DOS PODERES","CAMPO GRANDE","MS"
"044","12-0044","RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180","79037106","PARQUE DOS PODERES","CAMPO GRANDE","MS"
"054","12-0054","RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180","79037106","JARDIM VERANEIO","CAMPO GRANDE","MS"
"053","12-0053","RUA DELEGADO JOSÉ ALFREDO HARDMAN, 180 - JARDIM VERANEIO","79037106","PARQUE DOS PODERES","CAMPO GRANDE","MS"
"007","12-0007","RUA DUQUE DE CAXIAS, 45","79320060","NOSSA SENHORA DE FÁTIMA","CORUMBÁ","MS"
"050","12-0050","RUA DUQUE DE CAXIAS, 45","79320060","NOSSA SENHORA DE FÁTIMA","CORUMBÁ","MS"
"027","12-0027","RUA FRANCISCO PIERETTI, 211","79740000","GUIRAY","IVINHEMA","MS"
"012","12-0012","RUA GENERAL MENDES DE MORAES, N. 86","79400000","JARDIM AEROPORTO","COXIM","MS"
"004","12-0004","RUA IPIRANGA, N. 841","79700000","JARDIM PRIMAVERA","FÁTIMA DO SUL","MS"
