"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"060","11-0060","AV. BRASIL, 1200 NE","78360000","CENTRO","CAMPO NOVO DO PARECIS","MT"
"036","11-0036","AV. BRASIL, 1692","78880000","CENTRO","VERA","MT"
"020","11-0020","AV. CASTELO BRANCO, 47","78110402","CENTRO","VÁRZEA GRANDE","MT"
"049","11-0049","AV. CASTELO BRANCO N. 47","78110402","CENTRO","VÁRZEA GRANDE","MT"
"026","11-0026","AV. COUTO MAGALHÃES, N. 271","78690000","CENTRO","NOVA XAVANTINA","MT"
"035","11-0035","AV. DOS JAMBOS, 719 A","78320000","CENTRO","JUÍNA","MT"
"044","11-0044","AV. DOS JATOBÁS, 155","78520000","CENTRO","GUARANTÃ DO NORTE","MT"
"052","11-0052","AV. DR. GUILHERME PINTO CARDOSO, 1189","78285000","CENTRO","SÃO JOSÉ DOS QUATRO MARCOS","MT"
"039","11-0039","AV. HISTORIADOR RUBENS DE MENDONÇA, 4.750 - CASA DA DEMOCRACIA","78049941","BOSQUE DA SAÚDE","CUIABÁ","MT"
"051","11-0051","AV. HISTORIADOR RUBENS DE MENDONÇA, 4750","78050908","BOSQUE DA SAÚDE","CUIABÁ","MT"
"055","11-0055","AV. HISTORIADOR RUBENS DE MENDONÇA, 4750","78050000","BOSQUE DA SAÚDE","CUIABÁ","MT"
"042","11-0042","AV. JAÚ, N. 1450, SALA 03 - ESQUINA AV. PIRAMBOIA","78365000","CENTRO","SAPEZAL","MT"
"032","11-0032","AV. MARECHAL CANDIDO RONDON, 1715","78540000","CENTRO","CLÁUDIA","MT"
"061","11-0061","AV. MATO GROSSO, 269 E","78310000","CENTRO","COMODORO","MT"
"057","11-0057","AV. MATO GROSSO, N 629 - CENTRO","78870000","CENTRO","PARANATINGA","MT"
"053","11-0053","AV. NORTE, ESQUINA COM A AV. CUIABA, N 1180","78643000","SETOR NOVA QUERENCIA","QUERÊNCIA","MT"
"016","11-0016","AV. PERIMETRAL SUL ESQUINA C/ RUA 21 DE ABRIL, N 266","78645000","SETOR SUL","VILA RICA","MT"
"010","11-0010","AV. PRESIDENTE KENNEDY, 1845","78750300","VILA MARINÓPOLIS","RONDONÓPOLIS","MT"
"050","11-0050","AV. RONDONÓPOLIS, N. 39, ED. COMERCIAL BOING","78593000","CENTRO","NOVA MONTE VERDE","MT"
"001","11-0001","AV. RUBENS DE MENDONÇA, N. 4750, CASA DA DEMOCRACIA","78050000","BOSQUE DA SAÚDE","CUIABÁ","MT"
"015","11-0015","AVENIDA DOM PEDRO CASALDÁLIGA, 791","78670000","VILA SANTO ANTÔNIO","SÃO FÉLIX DO ARAGUAIA","MT"
"025","11-0025","AVENIDA MINAS GERAIS, 1359, ED. ANTHONNY, SALAS 01 E 02 - CHÁCARA 2B","78250000","CENTRO","PONTES E LACERDA","MT"
"017","11-0017","AVENIDA PREFEITO CAIO, 639-E,","78420000","VILA NOVA","ARENÁPOLIS","MT"
"045","11-0045","AVENIDA PRESIDENTE MÉDICE, N. 1.113 - TÉRREO","78795000","CENTRO","PEDRA PRETA","MT"
"029","11-0029","AVENIDA SIEGFRIED BUSS  N 1243","78435000","CENTRO","SÃO JOSÉ DO RIO CLARO","MT"
"046","11-0046","AV FILINTO MULLER, 1165","78720605","VILA OPERÁRIA","RONDONÓPOLIS","MT"
"030","11-0030","RUA 06, 355, CENTRO","78635000","CENTRO","ÁGUA BOA","MT"
"011","11-0011","RUA 15 DE NOVEMBRO, 645","78325000","CIDADE ALTA","ARIPUANÃ","MT"
"038","11-0038","RUA BENJAMIN CONSTANT, 99","78180000","CENTRO","SANTO ANTÔNIO DO LEVERGER","MT"
"056","11-0056","RUA CÁCERES, 350","78350000","CENTRO","BRASNORTE","MT"
"004","11-0004","RUA CAMPOS SALES, N 17","78175000","CENTRO","POCONÉ","MT"
"043","11-0043","RUA CANOAS 583 (AO LADO DO FÓRUM)","78890000","CENTRO NORTE - 43ªZE","SORRISO","MT"
"041","11-0041","RUA CARLOS LUZ, 306","78260000","CENTRO","ARAPUTANGA","MT"
"024","11-0024","RUA DAS ACEROLAS, 96","78580000","CENTRO","ALTA FLORESTA","MT"
"022","11-0022","RUA DAS GREVILEAS, 442","78550112","SETOR COMERCIAL SUL","SINOP","MT"
"005","11-0005","RUA DOS FLAMBOYANTS, 220-N","78450000","CENTRO","NOVA MUTUM","MT"
"003","11-0003","RUA DR. MURTINHO, 585","78470000","CENTRO","ROSÁRIO OESTE","MT"
"047","11-0047","RUA EUCLIDES DA CUNHA, S/N.","78800000","JARDIM SANTA LUZIA","POXORÉU","MT"
"019","11-0019","RUA FRANCISCO FERREIRA RAMOS, 53N","78300000","CENTRO","TANGARÁ DA SERRA","MT"
"018","11-0018","RUA GERMANO GREVE, N 284","78280000","CENTRO","MIRASSOL D'OESTE","MT"
"048","11-0048","RUA INGRID EGGERTT, 214","78330000","VILA NOVA","COTRIGUAÇU","MT"
"008","11-0008","RUA JOÃO II, 849","78780000","ATLÂNTICO","ALTO ARAGUAIA","MT"
"012","11-0012","RUA JOÃO PESSOA, N. 1702, SALA 02, ED. FERRARI","78840000","CAMPO REAL","CAMPO VERDE","MT"
"009","11-0009","RUA JOSÉ NOBRE DA SILVA, S/N., SETOR SENA MARQUES","78600000","SENA MARQUES","BARRA DO GARÇAS","MT"
"014","11-0014","RUA JURUCÊ, 990","78820000","CENTRO","JACIARA","MT"
"002","11-0002","RUA JUSTINIANO CARVALHO MORENO 260","78760000","COHAB GARCA BRANCA","GUIRATINGA","MT"
"006","11-0006","RUA MARECHAL DEODORO 720","78200000","CENTRO","CÁCERES","MT"
"021","11-0021","RUA PARANAPANEMA, 1818-S,","78455000","JARDIM DAS PALMEIRAS","LUCAS DO RIO VERDE","MT"
"027","11-0027","RUA RONDONÓPOLIS, 76W","78575000","JARDIM BOA VISTA","JUARA","MT"
"040","11-0040","RUA SANTO AMARO, 620","78850000","CENTRO","PRIMAVERA DO LESTE","MT"
"013","11-0013","RUA SÃO BENEDITO, 800 A/B","78390000","CENTRO","BARRA DO BUGRES","MT"
"023","11-0023","RUA TAPIRAPÉS, 165, SETOR LESTE, CENTRO","78500000","CENTRO","COLÍDER","MT"
"034","11-0034","RUA TIRADENTES, 45","78195000","CENTRO","CHAPADA DOS GUIMARÃES","MT"
"028","11-0028","RUA TOCANTINS N 775","78655000","CENTRO","PORTO ALEGRE DO NORTE","MT"
"031","11-0031","RUA TUPARENDI, N. 64","78640000","CENTRO","CANARANA","MT"
"033","11-0033","RUA WILMAR ANTÔNIO MAIA DE SOUZA PINTO, NÚMERO 12","78530000","CENTRO","PEIXOTO DE AZEVEDO","MT"
"007","11-0007","TRAVESSA ANTÔNIA E. PAES DA COSTA, 43","78400000","CENTRO","DIAMANTINO","MT"
