"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"065","15-0065","AV. BARÃO DO RIO BRANCO, 455","58700370","BRASÍLIA","PATOS","PB"
"036","15-0036","AV. DEP. AMÉRICO MAIA, S/N","58884000","JOÃO SERAFIM","CATOLÉ DO ROCHA","PB"
"010","15-0010","AV. JUSCELINO KUBITSCHEK, S/N","58200000","JUÁ","GUARABIRA","PB"
"061","15-0061","AV. LIBERDADE, N. 3423","58306000","CENTRO","BAYEUX","PB"
"072","15-0072","AV. RIO GRANDE DO SUL, S/N -","58414025","LIBERDADE","CAMPINA GRANDE","PB"
"053","15-0053","AVENIDA FRANCISCO LEÃO VELOSO, N 438-A","58915000","ALGASA","UIRAÚNA","PB"
"028","15-0028","AVENIDA RIO BRANCO, 455","58700370","CENTRO","PATOS","PB"
"057","15-0057","BR 230 KM 01- B","58310000","CENTRO","CABEDELO","PB"
"026","15-0026","FÓRUM ELEITORAL DES. LUIZ SILVIO RAMALHO - RUA BONIFÁCIO NÓBREGA, S/N","58600000","BAIRRO SAO JOSE","SANTA LUZIA","PB"
"035","15-0035","FÓRUM ELEITORAL DES. WALTER SARMENTO DE SÁ - RUA HAROLDO NAZARETH, SN","58804718","RACHEL GADELHA","SOUSA","PB"
"011","15-0011","PRAÇA DO TRABALHO, SN","58397000","JUSSARA","AREIA","PB"
"006","15-0006","PRAÇA EPITACIO PESSOA, 02, CENTRO","58360000","CENTRO","ITABAIANA","PB"
"056","15-0056","PRAÇA JOÃO PESSOA, 136","58660000","CENTRO","JUAZEIRINHO","PB"
"018","15-0018","PRAÇA JOÃO PESSOA, 25 - TÉRREO","58497000","CENTRO","UMBUZEIRO","PB"
"047","15-0047","RODOVIA PB 055 - LOTEAMENTO OLIVEIRO PEREIRA DE LUCENA","58213000","CENTRO","PIRPIRITUBA","PB"
"014","15-0014","RUA ADJALMA EPITÁCIO, S/N","58220000","CONJUNTO MAJOR AUGUSTO BEZERRA","BANANEIRAS","PB"
"062","15-0062","RUA AMARO ANTONIO BARBOSA","58450000","BAIRRO NOVO","BOQUEIRÃO","PB"
"043","15-0043","RUA ANTONIO BATISTA GONÇALVES - 281","58540000","CENTRO","SUMÉ","PB"
"041","15-0041","RUA ANTONIO GONZAGA S/N","58970000","CENTRO","CONCEIÇÃO","PB"
