"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"127","17-0127","2. TRAVESSA MARIA ADÉLIA COLLIER, 20 A","54762740","CENTRO","CAMARAGIBE","PE"
"138","17-0138","2 TRAVESSA MARIA ADÉLIA COLLIER, 20 A","54759432","CENTRO","CAMARAGIBE","PE"
"121","17-0121","ANTIGA BR 101, KM 33","54500000","CENTRO","CABO DE SANTO AGOSTINHO","PE"
"015","17-0015","ANTIGA BR 101 - SUL - KM 33 - LOT. AD/DIPER, APÓS O ASA BRANCA","54510450","CENTRO","CABO DE SANTO AGOSTINHO","PE"
"018","17-0018","AV. AGAMENON MAGALHES, 334","55600000","LIVRAMENTO","VITÓRIA DE SANTO ANTÃO","PE"
"128","17-0128","AV. CASTRO ALVES, 380 - CENTRO","56580000","CENTRO","IBIMIRIM","PE"
"073","17-0073","AV. CORONEL JERÔNIMO PIRES, 820, (FÓRUM)","56440000","CENTRO","BELÉM DO SÃO FRANCISCO","PE"
"072","17-0072","AV. DEPUTADO AUDOMAR FERRAZ, 52","56400000","CENTRO","FLORESTA","PE"
"083","17-0083","AV. DONA JUSTINA FREIRE DE SOUZA, S/N","56306415","VILA MOCÓ","PETROLINA","PE"
"144","17-0144","AV. DONA JUSTINA FREIRE DE SOUZA, SN,","56306412","VILA MOCÓ","PETROLINA","PE"
"011","17-0011","AV. DOS GUARARAPES, S/N, GUARARAPES, JABOATÃO DOS GUARARAPES/PE","54325012","GUARARAPES","JABOATÃO DOS GUARARAPES","PE"
"035","17-0035","AV. DR JOSÉ SALES SOBRINHO, 21","55660000","SÃO SEBASTIÃO","BEZERROS","PE"
"119","17-0119","AV. DUQUE DE CAXIAS, 439 (EM FRENTE AO BANCO ITAÚ)","53520010","TIMBO","ABREU E LIMA","PE"
"079","17-0079","AV. EDMUNDO DANTAS, S/N","56230000","CENTRO","EXU","PE"
"012","17-0012","AV. FLORIANO PEIXOTO S/N - CENTRO (EM FRENTE A LOJAS AMERICANAS)","53401460","CENTRO","PAULISTA","PE"
"131","17-0131","AV. JOAO PESSOA GUERRA, 282-B","53900000","BAIXA VERDE","ILHA DE ITAMARACÁ","PE"
"052","17-0052","AV. MANOEL CANDIDO, S/N","55370000","CENTRO","SÃO BENTO DO UNA","PE"
"146","17-0146","AV. MARECHAL FLORIANO PEIXOTO, S/N, CENTRO","53401460","CENTRO","PAULISTA","PE"
"088","17-0088","AV. PRESIDENTE KENNEDY, S/N, FÓRUM DES. CUNHA BARRETO.","55750000","BOA VISTA","JOÃO ALFREDO","PE"
"021","17-0021","AV. RUI BARBOSA, 249 (NA RUA DA PREFEITURA, EM FRENTE AO ANTIGO FÓRUM)","55620000","CENTRO","GLÓRIA DO GOITÁ","PE"
"114","17-0114","AV. SENADOR SALGADO FILHO, S/N","53401440","CENTRO","PAULISTA","PE"
"063","17-0063","AV. TENENTE DOMINGOS GOMES, 151(AO LADO HOSPITAL)","56560000","CENTRO","INAJÁ","PE"
"070","17-0070","AV AUSPICIO VALGUEIRO BARROS, 1066","56460000","QUADRA 11","PETROLÂNDIA","PE"
"089","17-0089","AV CÔNEGO FREDERICO, 53 - TÉRREO","56480000","CENTRO","TACARATU","PE"
"145","17-0145","AVENIDA DONA JUSTINA FREIRE DE SOUZA, 213","56306415","VILA MOCÓ","PETROLINA","PE"
"101","17-0101","AVENIDA DOS GUARARAPES, S/N","54325012","GUARARAPES","JABOATÃO DOS GUARARAPES","PE"
"147","17-0147","AVENIDA DOS GUARARAPES, S/N - GUARARAPES","54325012","GUARARAPES","JABOATÃO DOS GUARARAPES","PE"
"102","17-0102","AVENIDA DOUTOR AGAMENON MAGALHÃES, 334","55604070","SÃO VICENTE DE PAULO","VITÓRIA DE SANTO ANTÃO","PE"
"082","17-0082","AVENIDA FERNANDO BEZERRA, S/N","56200000","CENTRO","OURICURI","PE"
"107","17-0107","AVENIDA FRANCISCO RODRIGUES, 229","56360000","CENTRO","AFRÂNIO","PE"
"136","17-0136","AVENIDA GETÚLIO VARGAS,S/N","55350000","CENTRO","SALOÁ","PE"
"060","17-0060","AVENIDA JONAS CAMELO - S/N","56520000","CENTRO","BUÍQUE","PE"
"116","17-0116","AVENIDA JOSÉ CLEMENTE DA ROCHA, S/N","55435000","CENTRO","SÃO JOÃO","PE"
"069","17-0069","AVENIDA JOSÉ TORRES DA SILVA ARAQUAN, S/N","56980000","CENTRO","MIRANDIBA","PE"
"125","17-0125","AVENIDA OLEGARIO FONSECA, 1480","55940000","CENTRO","CONDADO","PE"
"061","17-0061","AVENIDA TENENTE RAUL DE HOLANDA CAVALCANTE, N. 112, CENTRO","55330000","CENTRO","BOM CONSELHO","PE"
"118","17-0118","AV GUARARAPES S.N","54325000","PRAZERES","JABOATÃO DOS GUARARAPES","PE"
"037","17-0037","BR 101, KM 187","55540000","ENGENHO PAUL","PALMARES","PE"
"041","17-0041","FÓRUM ELEITORAL DR. LUIZ PESSOA - RUA OLÍVIO FERREIRA DE AZEVEDO 263","55016839","UNIVERSITARIO","CARUARU","PE"
"055","17-0055","LARGO BERNARDO VIEIRA, S/N, FÓRUM DE PESQUEIRA ( ANTIGO SESI )","55200000","CENTRO","PESQUEIRA","PE"
"024","17-0024","LOTEAMENTO OTACIO DE LEMOS VASCONCELOS S/N- FORUM","55700000","OTÁCIO DE LEMOS","LIMOEIRO","PE"
"001","17-0001","PÇA DAS CINCO PONTAS, 321- SÃO JOSÉ- VIZINHO AO FORTE DAS CINCO PONTAS","50020500","SAO JOSE","RECIFE","PE"
"086","17-0086","PE120, S/N","55495000","ZONA RURAL","AGRESTINA","PE"
"046","17-0046","PRAÇA AGAMENON MAGALHÃES, 300","55770000","CENTRO","VERTENTES","PE"
