"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"034","18-0034","AV. ANTONINO FREIRE, S/N","64340000","CENTRO","CASTELO DO PIAUÍ","PI"
"074","18-0074","AV. CEL. BENEDITO ALVES DA LUZ, S/N","64455000","CENTRO","BARRO DURO","PI"
"092","18-0092","AV. CORONEL ANÍBAL MARTINS, 877 - CENTRO","64310000","CENTRO","AROAZES","PI"
"019","18-0019","AV. ENGENHEIRO RIBEIRO GONÇALVES, 167","64575000","SERRANOPOLIS","JAICÓS","PI"
"044","18-0044","AV. JOSE PRIMO, S/N","64865000","CENTRO","RIBEIRO GONÇALVES","PI"
"022","18-0022","AV. NOSSA SENHORA DA CONCEIÇÃO, S/N","64980000","NOVA CORRENTE","CORRENTE","PI"
"004","18-0004","AV. NOSSA SENHORA DE FÁTIMA, 363","64202220","NOSSA SENHORA DE FATIMA","PARNAÍBA","PI"
"003","18-0003","AV. NOSSA SENHORA DE FÁTIMA, 363, BAIRRO FÁTIMA","64218440","NOVA PARNAIBA","PARNAÍBA","PI"
"049","18-0049","AV. PRESIDENTE VARGAS, 208","64145000","- BAIRRO CENTRO","PORTO","PI"
"088","18-0088","AV. SÉRGIO GAMA, 153","64965000","CENTRO","AVELINO LOPES","PI"
"043","18-0043","AV ALBERTO LEAL NUNES, 455","64490000","CENTRO","REGENERAÇÃO","PI"
"005","18-0005","AV ANTONIO DE ALENCAR FREITAS, 856","64500000","OEIRAS NOVA","OEIRAS","PI"
"059","18-0059","AV DAVID CAMPOS, CENTRO, 1427","64920000","CENTRO","CRISTINO CASTRO","PI"
"082","18-0082","AVENIDA CÍCERO RIBEIRO DE ALMEIDA, S/N, CENTRO","64525000","CENTRO","VÁRZEA GRANDE","PI"
"046","18-0046","AVENIDA MANOEL RIBEIRO DA FONSECA N 260.","64840000","CENTRO","GUADALUPE","PI"
"033","18-0033","AVENIDA PARNAIBA, 450","64230000","CENTRO","BURITI DOS LOPES","PI"
"027","18-0027","AVENIDA PREFEITO RAIMUNDO MARQUES, N 192","64160000","SAO DOMINGOS","LUZILÂNDIA","PI"
"031","18-0031","AVENIDA VENÂNCIO BORGES, NR 489 - CENTRO","64420000","CENTRO","PALMEIRAIS","PI"
"038","18-0038","AVENIDA WALL FERRAZ S/N","64750000","COHAB","PAULISTANA","PI"
"095","18-0095","PÇA. GASPARINO FERREIRA, S/N","64770000","ALDEIA","SÃO RAIMUNDO NONATO","PI"
"013","18-0013","PÇA. GASPARINO FERREIRA, SN.","64770000","ALDEIA","SÃO RAIMUNDO NONATO","PI"
"024","18-0024","PRACA GOVERNADOR PEDRO FREITAS, 99","64110000","CENTRO","JOSÉ DE FREITAS","PI"
"064","18-0064","PRACA VEREADOR JOAO DE SOUSA LEAL, 545","64535000","CENTRO","INHUMA","PI"
"050","18-0050","RUA 01 S, N. 168","64740000","CENTRO","CONCEIÇÃO DO CANINDÉ","PI"
"001","18-0001","RUA 24 DE JANEIRO, 243","64000080","CENTRO","TERESINA","PI"
"097","18-0097","RUA 24 DE JANEIRO, 243","64000080","CENTRO","TERESINA","PI"
"098","18-0098","RUA 24 DE JANEIRO, 243, CENTRO","64000080","CENTRO","TERESINA","PI"
"055","18-0055","RUA 25 DE JULHO, 135","64320000","CENTRO","PIMENTEIRAS","PI"
"072","18-0072","RUA 29 DE OUTUBRO 510","64820000","CENTRO","ITAUEIRA","PI"
"052","18-0052","RUA ADALBERTO SANTANTA S/N","64460000","CENTRO","ÁGUA BRANCA","PI"
"016","18-0016","RUA ANFRÍSIO LOBÃO, 672","64120000","CENTRO","UNIÃO","PI"
"067","18-0067","RUA AZARIAS BELCHIOR, 855","64875000","CENTRO","MANOEL EMÍDIO","PI"
"085","18-0085","RUA BARÃO DO RIO BRANCO, 281","64170000","CENTRO","JOAQUIM PIRES","PI"
"030","18-0030","RUA BENJAMIN CONSTANT, 730 - CENTRO","64430300","CENTRO","SÃO PEDRO DO PIAUÍ","PI"
"007","18-0007","RUA BENJAMIN CONSTANT, 948","64280000","CENTRO","CAMPO MAIOR","PI"
"096","18-0096","RUA BENJAMIN CONSTANT N 948","64280000","CENTRO","CAMPO MAIOR","PI"
"008","18-0008","RUA CEL. JOÃO RIBEIRO GONÇALVES FILHO, N. 832","64400000","VILA NOVA","AMARANTE","PI"
