"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"046","20-0046","ALAMEDA DO V CENARIO DO BRASIL","59565000","CENTRO","CEARÁ-MIRIM","RN"
"006","20-0006","ALAMEDA DO V CENTENÁRIO DO BRASIL, 66, CENTRO-FÓRUM DES. EDGAR BARBOSA","59570000","CENTRO","CEARÁ-MIRIM","RN"
"033","20-0033","AV. ABEL COELHO, 1181","59611300","ABOLICAO II","MOSSORÓ","RN"
"058","20-0058","AV. ABEL COELHO, 1181, BAIRRO ABOLIÇÃO II","59690000","CENTRO","MOSSORÓ","RN"
"034","20-0034","AV. ABEL COELHO, 1181 - ABOLIÇÃO II","59611300","ABOLICAO II","MOSSORÓ","RN"
"010","20-0010","AV. ARTHUR FERREIRA DA SOLEDADE, S/N, RODOVIA RN-120, ALTO DO FERREIRA","59550000","ZONA RURAL","JOÃO CÂMARA","RN"
"062","20-0062","AV. ARTHUR FERREIRA DA SOLIDADE, S/N","59550000","ALTO DO FERREIRA","JOÃO CÂMARA","RN"
"023","20-0023","AV. DOM ADELINO DANTAS","59300000","MAYNARD","CAICÓ","RN"
"025","20-0025","AV. DOM JOSÉ ADELINO DANTAS, S/N, FÓRUM ELEITORAL, COMPLEXO JUDICIÁRIO","59300000","MAYNARD","CAICÓ","RN"
"026","20-0026","AV. DOM JOSÉ ADELINO DANTAS, S/N, FÓRUM ELEITORAL, COMPLEXO JUDICIÁRIO","59300000","MAYNARD","CAICÓ","RN"
"016","20-0016","AV. LOURENÇO DA ROCHA, 122","59200000","CENTRO","SANTA CRUZ","RN"
"068","20-0068","AV. LOURENÇO DA ROCHA, 122","59200000","CENTRO","SANTA CRUZ","RN"
"001","20-0001","AV. RUI BARBOSA, S/N","59015290","TIROL","NATAL","RN"
"004","20-0004","AV. RUI BARBOSA, S/N","59015290","TIROL","NATAL","RN"
"002","20-0002","AV. RUI BARBOSA, SN","59015290","TIROL","NATAL","RN"
"069","20-0069","AV. RUI BARBOSA, SN","59015290","TIROL","NATAL","RN"
"049","20-0049","AVENIDA ABEL COELHO, 1181","59607050","ABOLICAO II","MOSSORÓ","RN"
"044","20-0044","AVENIDA JUVENAL LAMARTINE, 73, SALA 6","59182000","CENTRO","MONTE ALEGRE","RN"
"003","20-0003","AVENIDA RUI BARBOSA, SN","59015290","TIROL","NATAL","RN"
"007","20-0007","AV SENADOR JOÃO CÂMARA, S/N","59162000","CENTRO","SÃO JOSÉ DE MIPIBU","RN"
"032","20-0032","BR 110, KM 02","59655000","ILHA","AREIA BRANCA","RN"
"045","20-0045","FÓRUM ELEITORAL, RUA FRANCISCO ROBERTO CARLOS DE MORAIS, 89","59700000","PEQUE","APODI","RN"
"024","20-0024","FÓRUM ELEITORAL JUIZ JERÔNIMO ROSADO NETO - RUA MANOEL VIRGILIO","59360000","MARIA TERCEIRA","PARELHAS","RN"
"053","20-0053","PRAÇA MAJOR LULA GOMES, 39","59240000","CENTRO","TANGARÁ","RN"
"015","20-0015","PRAÇA SÃO JOSÉ, S/N","59275000","CENTRO","SÃO JOSÉ DO CAMPESTRE","RN"
"036","20-0036","PRACA UBALDO FERNANDES NETO, 212","59780000","CENTRO","CARAÚBAS","RN"
"054","20-0054","R. DOUTOR LUIZ CARLOS, QD. F, LOTE 114/115, NOVO HORIZONTE","59650000","CENTRO","ASSÚ","RN"
"005","20-0005","R. OVÍDIO PEREIRA DA COSTA, 10, ARAÇÁ","59280000","CENTRO","MACAÍBA","RN"
"022","20-0022","RUA ADALBERTO BRAZ, 63","59370000","MAJOR ARY DE PINHO","ACARI","RN"
"052","20-0052","RUA ADERBAL PEREIRA, 29","59590000","CENTRO","SÃO BENTO DO NORTE","RN"
"064","20-0064","RUA ALMIRANTE ERNESTO DE MELO JÚNIOR, 135","59575000","CENTRO","EXTREMOZ","RN"
"008","20-0008","RUA ANTÔNIO DE OLIVEIRA AZEVEDO, 51","59460000","CENTRO","SÃO PAULO DO POTENGI","RN"
"027","20-0027","RUA BENJAMIM CONSTANT, 135","59330000","CENTRO","JUCURUTU","RN"
"050","20-0050","RUA CAMPO FORMOSO, 50, LOTEAMENTO SONHO VERDE","59156745","CAJUPIRANGA","PARNAMIRIM","RN"
"014","20-0014","RUA CEL. ANTONIO ANTUNES - 65","59584000","CENTRO","TOUROS","RN"
"043","20-0043","RUA CORONEL NUNES 446, CENTRO","59920000","CENTRO","SÃO MIGUEL","RN"
"063","20-0063","RUA DAMIÃO MONTEIRO DE SOUZA, 12","59810000","CENTRO","PORTALEGRE","RN"
"038","20-0038","RUA DR. JOAQUIM INACIO, 130","59800000","CENTRO","MARTINS","RN"
"029","20-0029","RUA DR. LUIZ CARLOS, S/N","59650000","NOVO HORIZONTE","ASSÚ","RN"
"021","20-0021","RUA FRANCISCO CÍCERO, 14, CENTRO, FLORÂNIA-RN.","59335000","CENTRO","FLORÂNIA","RN"
"035","20-0035","RUA FRANCISCO ROBERTO CARLOS DE MORAIS, 89","59700000","PEQUE","APODI","RN"
"047","20-0047","RUA FRANCISCO RODRIGUES, S/N","59504000","CENTRO","PENDÊNCIAS","RN"
