"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"017","22-0017","AV. BRASIL N 3068","76954000","PRINCESA IZABEL","ALTA FLORESTA D'OESTE","RO"
"001","22-0001","AV. CANDIDO RONDON, N 784","76850000","TAMANDARE","GUAJARÁ-MIRIM","RO"
"005","22-0005","AV. CHIANCA, 1159","76937000","CENTRO","COSTA MARQUES","RO"
"016","22-0016","AV. DAS NACOES, 1847, CENTRO","76997000","CENTRO","CEREJEIRAS","RO"
"003","22-0003","AV. MARECHAL RONDON, 1218","76900101","CENTRO","JI-PARANÁ","RO"
"030","22-0030","AV. MARECHAL RONDON, 1218","76900100","CENTRO","JI-PARANÁ","RO"
"008","22-0008","AV. MARECHAL RONDON, 4637","76993000","CENTRO","COLORADO DO OESTE","RO"
"032","22-0032","AV. RIO DE JANEIRO, 3134","76868000","CENTRO","MACHADINHO D'OESTE","RO"
"029","22-0029","AV. SÃO LUIZ 4557","76940000","CENTRO","ROLIM DE MOURA","RO"
"015","22-0015","AV. SÃO LUIZ N. 4557","76940000","centro","ROLIM DE MOURA","RO"
"035","22-0035","AVENIDA CACOAL, N. 965","76932000","CRISTO REI","SÃO MIGUEL DO GUAPORÉ","RO"
"009","22-0009","AVENIDA CASTELO BRANCO N. 970","76970000","DOS PIONEIROS","PIMENTA BUENO","RO"
"034","22-0034","AVENIDA PORTO VELHO 1454","76880000","SETOR 02","BURITIS","RO"
"012","22-0012","AVENIDA SETE DE SETEMBRO, 3071","76974000","CENTRO","ESPIGÃO DO OESTE","RO"
"006","22-0006","FÓRUM ELEITORAL LOURIVAL MENDES DE SOUZA - RUA JACY PARANÁ, S/N","76805866","BAIXA UNIAO","PORTO VELHO","RO"
"021","22-0021","FÓRUM ELEITORAL LOURIVAL MENDES DE SOUZA - RUA JACY PARANÁ, S/N","76805866","BAIXA UNIAO","PORTO VELHO","RO"
"004","22-0004","RUA 545, N. 495","76980728","JARDIM AMÉRICA","VILHENA","RO"
"031","22-0031","RUA ANISIO SERRÃO, 2004","76963804","CENTRO","CACOAL","RO"
"011","22-0011","RUA ANISIO SERRÃO, N. 2004","76963804","CENTRO","CACOAL","RO"
"028","22-0028","RUA CAFÉ FILHO, 083","76920000","DA UNIAO","OURO PRETO DO OESTE","RO"
"013","22-0013","RUA CAFÉ FILHO N. 083","76920000","DA UNIAO","OURO PRETO DO OESTE","RO"
"019","22-0019","RUA D. PEDRO I, 2349","76950000","CENTRO","SANTA LUZIA D'OESTE","RO"
"002","22-0002","RUA JACY PARANÁ, S/N","76805866","BAIXA UNIAO","PORTO VELHO","RO"
"020","22-0020","RUA JACY PARANA, S/N - ANEXO AO TRE","76805866","BAIXA DA UNIAO","PORTO VELHO","RO"
"018","22-0018","RUA MONTEIRO LOBATO, 4283","76930000","CENTRO","ALVORADA DO OESTE","RO"
"027","22-0027","RUA PRINCESA ISABEL, 1028","76890000","SETOR 02","JARU","RO"
"010","22-0010","RUA PRINCESA ISABEL 1028","76890000","SETOR 02","JARU","RO"
"025","22-0025","TRAVESSA AQUARIQUARA, 3631","76872856","SETOR INSTITUCIONAL","ARIQUEMES","RO"
"007","22-0007","TRAVESSA AQUARIQUARA,3631, SETOR INSTITUCIONAL","76872856","SETOR INSTITUCIONAL","ARIQUEMES","RO"
"026","22-0026","TRAVESSA AQUARIQUARA, N. 3631, SETOR INSTITUCIONAL","76872856","SETOR INSTITUCIONAL","ARIQUEMES","RO"
