"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"125","21-0125","AV. 01 LESTE, 956","95890000","CENTRO ADMINISTRATIVO","TEUTÔNIA","RS"
"131","21-0131","AV. 20 DE SETEMBRO, 4370","93819000","SETE DE SETEMBRO","SAPIRANGA","RS"
"110","21-0110","AV. CALDAS JÚNIOR, 1750, SALA 103, CENTRO","95590000","CENTRO","TRAMANDAÍ","RS"
"168","21-0168","AV. CASTELO BRANCO, N. 1137","99640000","CENTRO","SÃO VALENTIM","RS"
"148","21-0148","AV. COMANDANTE KRAEMER, 96","99700374","CENTRO","ERECHIM","RS"
"020","21-0020","AV. COMANDANTE KRAEMER, 96 - CENTRO","99700374","CENTRO","ERECHIM","RS"
"097","21-0097","AV. DOM PEDRO, 171 - TÉRREO","93265140","CENTRO","ESTEIO","RS"
"088","21-0088","AV. DR. JOSÉ MONTAURY, 850 - SALA 101","95330000","CENTRO","VERANÓPOLIS","RS"
"095","21-0095","AV. FIORENTINO BACCHI, 1025, SALA 3","99840000","CENTRO","SANANDUVA","RS"
"134","21-0134","AV. GUILHERME SCHELL, 6080","92310364","CENTRO","CANOAS","RS"
"048","21-0048","AV. JULIO DE CASTILHOS, 97","95400000","CENTRO","SÃO FRANCISCO DE PAULA","RS"
"086","21-0086","AV. JULIO DE CASTILHOS N. 210 - SALA 401 - 4 ANDAR","98600000","CENTRO","TRÊS PASSOS","RS"
"116","21-0116","AV. LEANDRO DE ALMEIDA, 855","96750000","CENTRO","BUTIÁ","RS"
"090","21-0090","AV. NESTOR DE MOURA JARDIM, 387 -  3. ANDAR, SALA 326","92500000","CEL. NASSUCA","GUAÍBA","RS"
"041","21-0041","AV. NOSSA SENHORA MEDIANEIRA, 2053","97060003","NOSSA SENHORA DE LOURDES","SANTA MARIA","RS"
"135","21-0135","AV. NOSSA SENHORA MEDIANEIRA, 2053","97060003","CENTRO","SANTA MARIA","RS"
"002","21-0002","AV. PADRE CACIQUE, 96","90810240","MENINO DEUS","PORTO ALEGRE","RS"
"111","21-0111","AV. PADRE CACIQUE, 96","90810240","MENINO DEUS","PORTO ALEGRE","RS"
"112","21-0112","AV. PADRE CACIQUE, 96","90810240","MENINO DEUS","PORTO ALEGRE","RS"
"113","21-0113","AV. PADRE CACIQUE, 96","90810240","MENINO DEUS","PORTO ALEGRE","RS"
"114","21-0114","AV. PADRE CACIQUE, 96","90810240","PRAIA DE BELAS","PORTO ALEGRE","RS"
"158","21-0158","AV. PADRE CACIQUE, 96","90810240","MENINO DEUS","PORTO ALEGRE","RS"
"159","21-0159","AV. PADRE CACIQUE, 96","90810240","PRAIA DE BELAS","PORTO ALEGRE","RS"
"160","21-0160","AV. PADRE CACIQUE, 96","90810240","PRAIA DE BELAS","PORTO ALEGRE","RS"
"161","21-0161","AV. PADRE CACIQUE, 96","90810240","MENINO DEUS","PORTO ALEGRE","RS"
"001","21-0001","AV. PADRE CACIQUE, 96 - 1 ANDAR","90810240","MENINO DEUS","PORTO ALEGRE","RS"
"172","21-0172","AV. PEDRO ADAMS FILHO, 3713","93410035","PATRIA NOVA","NOVO HAMBURGO","RS"
"018","21-0018","AV. RIO BRANCO, 1817 SALA 424","96450000","SANTA TEREZINHA","DOM PEDRITO","RS"
"099","21-0099","AV. ROCHA LOIRES, 510, SALAS 09,11 E 13","99600000","CENTRO","NONOAI","RS"
"019","21-0019","AV. RODOLFO TABORDA, N. 100, SALA 208","96610000","CENTRO","ENCRUZILHADA DO SUL","RS"
"089","21-0089","AV. SENADOR ALBERTO PASQUALINI, 310","98910000","ORIENTAL","TRÊS DE MAIO","RS"
"052","21-0052","AV. SENADOR PINHEIRO MACHADO, 2118","97800000","CENTRO","SÃO LUIZ GONZAGA","RS"
"005","21-0005","AV. TIARAJU, 1002","97546550","IBIRAPUITÃ","ALEGRETE","RS"
"012","21-0012","AVENIDA ANTÔNIO DURO, 253","96180000","CENTRO","CAMAQUÃ","RS"
"043","21-0043","AVENIDA BENTO GONÇALVES, N. 1850","96230000","CENTRO","SANTA VITÓRIA DO PALMAR","RS"
"107","21-0107","AVENIDA DO COMÉRCIO, 328","98590000","CENTRO","SANTO AUGUSTO","RS"
"004","21-0004","AVENIDA FERNANDO FERRARI ,357","99400000","CENTRO","ESPUMOSO","RS"
"034","21-0034","AVENIDA FERREIRA VIANA, 1159","96085000","AREAL","PELOTAS","RS"
"060","21-0060","AVENIDA FERREIRA VIANA, 1159 - 3 ANDAR","96085000","AREAL","PELOTAS","RS"
"132","21-0132","AVENIDA GENERAL FLORES DA CUNHA 1467","98380000","CENTRO","SEBERI","RS"
"084","21-0084","AVENIDA GETÚLIO VARGAS, 969","96760000","CENTRO","TAPES","RS"
"066","21-0066","AVENIDA GUILHERME SCHELL, 6080","92310364","CENTRO","CANOAS","RS"
"123","21-0123","AVENIDA JOSE BONIFACIO N. 1968 SALA 104","96360000","CENTRO","PEDRO OSÓRIO","RS"
"156","21-0156","AVENIDA LUIZ SILVEIRA, 461","95540000","CENTRO","PALMARES DO SUL","RS"
"013","21-0013","AVENIDA MARECHAL DEODORO, 432","96930000","CENTRO","CANDELÁRIA","RS"
"076","21-0076","AVENIDA  PEDRO ADAMS FILHO, 3713","93410035","PATRIA NOVA","NOVO HAMBURGO","RS"
"150","21-0150","AVENIDA POTI, 277- SALA 1","95555000","CENTRO","CAPÃO DA CANOA","RS"
"153","21-0153","AVENIDA SÃO MIGUEL, 350","93950000","CENTRO","DOIS IRMÃOS","RS"
"017","21-0017","AVENIDA VENÂNCIO AIRES, 1174","98005096","CENTRO","CRUZ ALTA","RS"
"164","21-0164","AV FERREIRA VIANA, 1159","96085000","CENTRO","PELOTAS","RS"
"098","21-0098","PRAÇA DA MATRIZ, 154, SALA 01, CENTRO","95720000","CENTRO","GARIBALDI","RS"
"141","21-0141","RICARDO SANTIAGO DE GODOY 3605","97870000","CENTRO","SANTO ANTÔNIO DAS MISSÕES","RS"
"091","21-0091","RUA 20 DE SETEMBRO, 245","98640000","CENTRO","CRISSIUMAL","RS"
"154","21-0154","RUA 25 DE JULHO, 343","96950000","CENTRO","ARROIO DO TIGRE","RS"
"070","21-0070","RUA AFONSO TAGLIARI, 40, SALA 100","99900000","CENTRO","GETÚLIO VARGAS","RS"
"119","21-0119","RUA ALBERTO PASQUALINI, 798","97220000","CENTRO","FAXINAL DO SOTURNO","RS"
"080","21-0080","RUA ALMIRANTE BARROSO, 1176 - SALA 109 - FÓRUM","96170000","CENTRO","SÃO LOURENÇO DO SUL","RS"
