"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"094","24-0094","AV. NEREU RAMOS, 1841-E, CENTRO","89805018","CENTRO","CHAPECÓ","SC"
"035","24-0035","AV. NEREU RAMOS, N. 1841-E","89805018","CENTRO","CHAPECÓ","SC"
"012","24-0012","AV. RIO BRANCO, N. 797","88015203","CENTRO","FLORIANÓPOLIS","SC"
"100","24-0100","AV. RIO BRANCO, N. 797","88015203","CENTRO","FLORIANÓPOLIS","SC"
"085","24-0085","AV. XV DE NOVEMBRO, N. 12, TÉRREO, SALA 02","89600000","CENTRO","JOAÇABA","SC"
"063","24-0063","AV. XV DE NOVEMBRO, N. 86, SALA 2, EDIFÍCIO MARAFON","89683000","CENTRO","PONTE SERRADA","SC"
"084","24-0084","AV BEIRA MAR, SN, ESQUINA COM A RUA LUIZ FAGUNDES","88103500","PRAIA COMPRIDA","SÃO JOSÉ","SC"
"029","24-0029","AV BEIRA-MAR DE SÃO JOSÉ, ESQUINA COM LUIZ FAGUNDES","88103500","PRAIA COMPRIDA","SÃO JOSÉ","SC"
"078","24-0078","AV CEL ERNESTO BERTASO 1300 SL5  ED DOM VICTÓRIO","89850000","CENTRO","QUILOMBO","SC"
"011","24-0011","AVENIDA ADVOGADO SEBASTIAO CALOMENO, 140","89520000","SAO FRANCISCO","CURITIBANOS","SC"
"058","24-0058","AVENIDA ANITA GARIBALDI, 1012, SALA 01","89874000","CENTRO","MARAVILHA","SC"
"093","24-0093","AVENIDA BELISÁRIO RAMOS, 3800, EDIFÍCIO LAGES BUSINESS CENTER, TÉRREO","88502100","CENTRO","LAGES","SC"
"021","24-0021","AVENIDA BELIZÁRIO RAMOS, 3.800, BLOCO B","88502100","CENTRO","LAGES","SC"
"104","24-0104","AVENIDA BELIZÁRIO RAMOS, 3.800 - BLOCO B","88502100","CENTRO","LAGES","SC"
"066","24-0066","AVENIDA CAPITÃO ANIZIO, 1.037","89870000","CENTRO","PINHALZINHO","SC"
"001","24-0001","AVENIDA CORONEL JOÃO FERNANDES, 1234","88905478","URUSSANGUINHA","ARARANGUÁ","SC"
"022","24-0022","AVENIDA CORONEL JOSÉ SEVERIANO MAIA, 548","89300000","JARDIM ESPLANADA","MAFRA","SC"
"052","24-0052","AVENIDA EDUARDO SALMORIA, 485","88590000","CENTRO","ANITA GARIBALDI","SC"
"047","24-0047","AVENIDA IRMÃOS PICCOLI, N. 220, SALA 07, CENTRO","89642000","CENTRO","TANGARÁ","SC"
"016","24-0016","AVENIDA JOSÉ EUGÊNIO MULLER, 406","88303170","CENTRO","ITAJAÍ","SC"
"091","24-0091","AVENIDA NEREU RAMOS, N. 1180","88220000","CENTRO","ITAPEMA","SC"
"071","24-0071","AVENIDA PE. JOÃO SMEDT, 1274","89830000","CENTRO","ABELARDO LUZ","SC"
"013","24-0013","AVENIDA RIO BRANCO, N. 797","88015203","CENTRO","FLORIANÓPOLIS","SC"
"068","24-0068","AV GETÚLIO VARGAS, 123","88380000","CENTRO","BALNEÁRIO PIÇARRAS","SC"
"092","24-0092","AV GETULIO VARGAS, 361","88801500","CENTRO","CRICIÚMA","SC"
"010","24-0010","AV GETULIO VARGAS, 361, PALÁCIO DO ESTADO","88801500","CENTRO","CRICIÚMA","SC"
"098","24-0098","AV GETÚLIO VARGAS, N. 361, PALÁCIO DO ESTADO","88801500","CENTRO","CRICIÚMA","SC"
"087","24-0087","AV MAL. DEODORO DA FONSECA, N. 1188, SALA 103 - TÉRREO","89251702","CENTRO","JARAGUÁ DO SUL","SC"
"017","24-0017","AV MAL. DEODORO DA FONSECA, N.  1188, SL. 103.","89251702","CENTRO","JARAGUÁ DO SUL","SC"
"099","24-0099","AV MARCOLINO MARTINS CABRAL, 1315","88701000","CENTRO","TUBARÃO","SC"
"033","24-0033","AV MARCOLINO MARTINS CABRAL, 1315, PRAÇA SHOPPING, 2 ANDAR","88701105","CENTRO","TUBARÃO","SC"
"073","24-0073","AV SANTA CATARINA, 186","88780000","CENTRO","IMBITUBA","SC"
"050","24-0050","AV WASHINGTON LUIZ, 775","89950000","CENTRO","DIONÍSIO CERQUEIRA","SC"
"018","24-0018","AV XV DE NOVEMBRO, 12 - TÉRREO - SALA 02","89600000","CENTRO","JOAÇABA","SC"
"051","24-0051","AV XV DE NOVEMBRO S/N  ESQ. RUA ANTONIO CARLOS DE MEDEIROS 531, SL. 01","89540000","CENTRO","SANTA CECÍLIA","SC"
"003","24-0003","PRAÇA VICTOR KONDER, 60, FÓRUM UNIVERSITÁRIO","89010150","CENTRO","BLUMENAU","SC"
"088","24-0088","PRAÇA VICTOR KONDER, N. 60, CENTRO","89010150","CENTRO","BLUMENAU","SC"
"042","24-0042","R. AFONSO COLODEL, 19, SALA 2. ED AMÉRICA","88930000","CIDADE ALTA","TURVO","SC"
"048","24-0048","R. RIO GRANDE, N. 653","89825000","CENTRO","XAXIM","SC"
"055","24-0055","R. XV DE NOVEMBRO, N. 700, FÓRUM ESTADUAL","89107000","CENTRO","POMERODE","SC"
"009","24-0009","R ÂNGELO ARI BIEZUS, N. 69, TÉRREO","89700194","CENTRO","CONCÓRDIA","SC"
"004","24-0004","R ANITA GARIBALDI, 343, LOJA 01, TÉRREO.","88680000","CENTRO","BOM RETIRO","SC"
"027","24-0027","R BARÃO DO RIO BRANCO, 377, SL. 300","89240000","CENTRO","SÃO FRANCISCO DO SUL","SC"
"007","24-0007","R CORONEL FARRAPO, 428","89620000","CENTRO","CAMPOS NOVOS","SC"
"057","24-0057","R GETÚLIO VARGAS, 411","89176000","CIDADE ALTA","TROMBUDO CENTRAL","SC"
"030","24-0030","R HENRIQUE SCHWARZ, N. 554, S.4","89280115","CENTRO","SÃO BENTO DO SUL","SC"
"002","24-0002","R HERMÓGENES PRAZERES, 277","88160152","CENTRO","BIGUAÇU","SC"
"019","24-0019","R JAGUARUNA, 38","89201450","CENTRO","JOINVILLE","SC"
"076","24-0076","R JAGUARUNA, 38","89201450","CENTRO","JOINVILLE","SC"
"105","24-0105","R JAGUARUNA, 38","89201450","CENTRO","JOINVILLE","SC"
"096","24-0096","R JAGUARUNA, 38 - CENTRO","89201450","CENTRO","JOINVILLE","SC"
"102","24-0102","R JÚLIO ROUSSENQ FILHO, 265","89160196","JARDIM AMÉRICA","RIO DO SUL","SC"
"026","24-0026","R JULIO ROUSSENQ FILHO 265","89160000","JARDIM AMÉRICA","RIO DO SUL","SC"
"039","24-0039","R MAJOR GENEROSO, 45 - TÉRREO","88400000","CENTRO","ITUPORANGA","SC"
"025","24-0025","R MATOS COSTA, 344","89400000","CENTRO","PORTO UNIÃO","SC"
"024","24-0024","R NAJLA CARONE GUEDERT, N. 951, PARQUE RESIDENCIAL PAGANI","88132150","PASSA VINTE","PALHOÇA","SC"
"074","24-0074","R PREFEITO HUGO FISCHER, 242, SALA 2","89295000","BELA VISTA","RIO NEGRINHO","SC"
"056","24-0056","RUA 2850, N. 470, ED. SAN SALVATORE","88330363","CENTRO","BALNEÁRIO CAMBORIÚ","SC"
"103","24-0103","RUA 2850, N. 470, ED. SAN SALVATORE","88330363","CENTRO","BALNEÁRIO CAMBORIÚ","SC"
"060","24-0060","RUA 28 DE AGOSTO, N. 2000","89270000","CENTRO","GUARAMIRIM","SC"
"077","24-0077","RUA ALBANO BURGUER, 45, SALA 03","89580000","SÃO JOSÉ","FRAIBURGO","SC"
"031","24-0031","RUA ALEXANDRE TERNES NETO, 144.","88200000","CENTRO","TIJUCAS","SC"
"090","24-0090","RUA ÂNGELO ARI BIEZUS, N. 69, TÉRREO, COND. JUAN LUIS","89700194","CENTRO","CONCÓRDIA","SC"
"062","24-0062","RUA ANTONIO BITTENCOURT CAPANEMA S/N","88770000","CENTRO","IMARUÍ","SC"
"023","24-0023","RUA ANTONIO DA SILVA CASCAES 520 CENTRO","88870000","CENTRO","ORLEANS","SC"
"036","24-0036","RUA ANTONIO PINTO, 178, SALAS 3 E 4","89560000","ALVORADA","VIDEIRA","SC"
"044","24-0044","RUA BERNARDO LOCKS, N. 148, 2 ANDAR, SALA 208, CENTRO","88750000","CENTRO","BRAÇO DO NORTE","SC"
"028","24-0028","RUA BOANERGES PEREIRA DE MEDEIROS, N.13","88600000","CENTRO","SÃO JOAQUIM","SC"
"038","24-0038","RUA CARRIL PFLANZER, N. 69, CENTRO","89340000","CENTRO","ITAIÓPOLIS","SC"
"020","24-0020","RUA CORONEL FERNANDES MARTINS, 470, CENTRO EXECUTIVO MILENIUM","88790000","PROGRESSO","LAGUNA","SC"
"014","24-0014","RUA DOUTOR GETÚLIO VARGAS, 560 - SALA TÉRREA","89140000","CENTRO","IBIRAMA","SC"
"053","24-0053","RUA EX-COMBATENTE NARCISO CIM, 92 - TÉRREO","88240000","CENTRO","SÃO JOÃO BATISTA","SC"
"005","24-0005","RUA HUMBERTO MATTIOLLI, 78","88350140","CENTRO","BRUSQUE","SC"
"086","24-0086","RUA HUMBERTO MATTIOLLI, 78","88350140","CENTRO","BRUSQUE","SC"
"064","24-0064","RUA JACKCEIA DE ANDRADE, N. 66","89114820","SETE DE SETEMBRO","GASPAR","SC"
"095","24-0095","RUA JAGUARUNA 38","89201450","CENTRO","JOINVILLE","SC"
"097","24-0097","RUA JOSÉ EUGÊNIO MULLER, 406","88303170","VILA OPERÁRIA","ITAJAÍ","SC"
"070","24-0070","RUA LA SALLE, 228, CENTRO","89885000","CENTRO","SÃO CARLOS","SC"
"008","24-0008","RUA MARECHAL FLORIANO, 959","89460000","CENTRO","CANOINHAS","SC"
"015","24-0015","RUA MARECHAL FLORIANO PEIXOTO, 35, EDIFÍCIO MENKE, LOJA 10","89080063","CENTRO","INDAIAL","SC"
"082","24-0082","RUA MARQUÊS DO HERVAL, 977, EDIFÍCIO LEOLINO BALDISSERA","89900000","CENTRO","SÃO MIGUEL DO OESTE","SC"
"045","24-0045","RUA MARQUÊS DO HERVAL, N. 977, SALA 6, ED. LEOLINO BALDISSERA","89900000","CENTRO","SÃO MIGUEL DO OESTE","SC"
"037","24-0037","RUA NARCISO BARISON, 171","89665000","CENTRO","CAPINZAL","SC"
"081","24-0081","RUA NEREU RAMOS, 2983, SALAS 10 E 11","89370000","CENTRO","PAPANDUVA","SC"
"069","24-0069","RUA OSVALDO DÁRIO DALL'IGNA, N. 794, SALA 2,","89980000","CENTRO","CAMPO ERÊ","SC"
"046","24-0046","RUA PADRE EDUARDO, 600","89190000","PADRE EDUARDO","TAIÓ","SC"
"067","24-0067","RUA PEDRO MANSUR ELIAS, 25 - SALA 01","88140000","CENTRO","SANTO AMARO DA IMPERATRIZ","SC"
"049","24-0049","RUA RUI BARBOSA, 830, TÉRREO","89990000","CENTRO","SÃO LOURENÇO DO OESTE","SC"
"054","24-0054","RUA SANTO ANTÔNIO, N. 204","88960000","CENTRO","SOMBRIO","SC"
"065","24-0065","RUA SÃO BONIFÁCIO, 280, TÉRREO, ED. PEPERI","89896000","CENTRO","ITAPIRANGA","SC"
"061","24-0061","RUA SÉTIMO CASAROTTO, N. 98. SALA 2.","89770000","CENTRO","SEARA","SC"
"041","24-0041","RUA VISCONDE DO RIO BRANCO, 932, SALA 2","89887000","CENTRO","PALMITOS","SC"
"083","24-0083","RUA XV DE NOVEMBRO, 476","89872000","CENTRO","MODELO","SC"
"006","24-0006","R VICTOR BAPTISTA ADAMI, 919, SALA 01","89500196","CENTRO","CAÇADOR","SC"
"034","24-0034","R VIDAL RAMOS, N. 159, ED. BELAS ARTES, SALA 1","88840000","CENTRO","URUSSANGA","SC"
"079","24-0079","R VITÓRIA, 201 - CENTRO","88820000","CENTRO","IÇARA","SC"
"032","24-0032","TRAVESSA HEINRICH EILERS, 172, CENTRO","89120000","CENTRO","TIMBÓ","SC"
"043","24-0043","TV ERNESTO CARMELLI, 55, SALA 1","89820000","CENTRO","XANXERÊ","SC"
