"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"013","25-0013","AL. IÊDA ROSA, S/N, CONJ. MANOEL DO PRADO FRANCO FORUM LEVINDO CRUZ","49170000","CENTRO","LARANJEIRAS","SE"
"009","25-0009","AV. DR. LUÍS MAGALHÃES, S/N - FÓRUM ELEITORAL DA 9 ZONA","49503256","SERRANO","ITABAIANA","SE"
"031","25-0031","AV. EMIDIO MAXI NETO, 170  FORUM DES. JOSE FERNANDES PRADO VASCONCELOS","49120000","CENTRO","ITAPORANGA D'AJUDA","SE"
"019","25-0019","AV. JOAO BARBOSA PORTO, SN - FORUM JUIZ JOÃO FERNANDES DE BRITTO","49900000","BELA VISTA","PROPRIÁ","SE"
"008","25-0008","AV. MARECHAL FLORIANO, 26","49830000","CENTRO","GARARU","SE"
"003","25-0003","AV. MINISTRA LEONOR B. FRANCO N. 137","49790000","CENTRO","AQUIDABÃ","SE"
"017","25-0017","AVENIDA MANOEL ELIGIO DA MOTA, S/N - FÓRUM JUIZ ALOÍSIO VILAS-BÔAS","49680000","NOVA ESPERANÇA","NOSSA SENHORA DA GLÓRIA","SE"
"006","25-0006","AV SANTA CRUZ S/N","49200000","SANTA CRUZ","ESTÂNCIA","SE"
"005","25-0005","FÓRUM ELEITORAL DE CAPELA- PÇA DO CONJ. MANOEL CARDOSO S. FILHO, S/N","49700000","VILA CONCEIÇÃO","CAPELA","SE"
"022","25-0022","FORUM ELEITORAL DES. BELMIRO S. GOES - PRAÇA LUCILA MACEDO DEDA, S/N","49480000","CENTRO","SIMÃO DIAS","SE"
"028","25-0028","FORUM ELEITORAL JUIZ MANOEL SOARES PINTO, RUA ANTONIO CAETANO DE SÁ","49820000","CENTRO","CANINDÉ DE SÃO FRANCISCO","SE"
"004","25-0004","FORUM ELEITORAL PQ. CIT. GOV. JOAO ALVES FILHO, S/N","49360000","CENTRO","BOQUIM","SE"
"012","25-0012","FÓRUM JUIZ OSÓRIO DE ARAÚJO RAMOS, ROD. ANTÔNIO MARTINS DE MENEZES S/N","49400000","EXPOSICAO","LAGARTO","SE"
"021","25-0021","LARGO JOEL FONTES COSTA S/N - RODOVIA JOAO BEBE AGUA","49100000","SANTA CRUZ","SÃO CRISTÓVÃO","SE"
"023","25-0023","PÇ. CASTELO BRANCO, S/N","49300000","CENTRO","TOBIAS BARRETO","SE"
"016","25-0016","PRAÇA DES. ALOÍSIO DE ABREU LIMA, S/N, FÓRUM ELEITORAL","49600000","CENTRO","NOSSA SENHORA DAS DORES","SE"
"026","25-0026","PRAÇA MANOEL DO CARMO DE JESUS S/N","49530000","CENTRO","RIBEIRÓPOLIS","SE"
"029","25-0029","PRAÇA MARIA JOVITA ARAGÃO, S/N","49550000","CENTRO","CARIRA","SE"
"015","25-0015","PRAÇA MONS. JOSÉ MORENO DE SANT'ANA, S/N,  FÓRUM DES. ANTÔNIO GÓES","49980000","CENTRO","NEÓPOLIS","SE"
"011","25-0011","ROD. LÚCIO PRADO, 40 - FÓRUM MONSENHOR ALBERTO BRAGANÇA DE AZEVEDO","49960000","CENTRO","JAPARATUBA","SE"
"014","25-0014","RUA ÁLVARO GARCEZ, 485, MARUIM/SE - FÓRUM ADV. JAIME DE ARAÚJO ANDRADE","49770000","CENTRO","MARUIM","SE"
"035","25-0035","RUA ANICETO LIMA - S/N","49260000","CENTRO","UMBAÚBA","SE"
"018","25-0018","RUA BONIFÁCIO PEREIRA DE SOUZA, S/N","49800000","COROA DO MEIO","PORTO DA FOLHA","SE"
"024","25-0024","RUA GABRIEL DE LIMA S/N","49520000","CENTRO","CAMPO DO BRITO","SE"
"001","25-0001","RUA ITABAIANA, 580","49015110","CENTRO","ARACAJU","SE"
"002","25-0002","RUA ITABAIANA, 580","49015110","CENTRO","ARACAJU","SE"
"027","25-0027","RUA ITABAIANA, 580","49015110","SÃO JOSÉ","ARACAJU","SE"
"030","25-0030","RUA JOÃO FERREIRA SANTOS REIS, 117","49270000","CENTRO","CRISTINÁPOLIS","SE"
"034","25-0034","RUA MANOEL DOS PASSOS S/N","49160000","CENTRO","NOSSA SENHORA DO SOCORRO","SE"
