"numero_zona","sigla_uf","endereco","cep","bairro","nome_municipio","sigla_uf"
"028","27-0028","AV. ALFREDO NASSER, QD. 109-A, LT. 1-A","77660000","VILA MARIA","MIRANORTE","TO"
"008","27-0008","AV. PREFEITO WILSON MARTINS DE CASTRO QD. 57 N. 433","77795000","CENTRO","FILADÉLFIA","TO"
"012","27-0012","AVENIDA A, S/N, ESQ COM RUA MIGUEL DOS SANTOS BARROS, SETOR LESTE","77880000","LESTE","XAMBIOÁ","TO"
"020","27-0020","AVENIDA ALAIR DE SENA CONCEIÇÃO, QUADRA 21, LTS 11, 12 E 13","77460000","SETOR SUL","PEIXE","TO"
"018","27-0018","AVENIDA A - QUADRA 25 - LOTE 01","77360000","CENTRO","PARANÃ","TO"
"016","27-0016","AVENIDA BRASIL, ESQ. COM A RUA 07 - S/N","77725000","CENTRO","COLMÉIA","TO"
"026","27-0026","AVENIDA CASTELO BRANCO, QUADRA 14","77590000","SETOR AEROPORTO","PONTE ALTA DO TOCANTINS","TO"
"035","27-0035","AVENIDA CENTRAL, S/N, AO LADO DA GARAGEM PREFEITURA","77610000","CENTRO","NOVO ACORDO","TO"
"033","27-0033","AVENIDA CICERA PORTO S/N","77720000","CENTRO","ITACAJÁ","TO"
"014","27-0014","AVENIDA JK, ESQUINA COM A RUA 7 DE SETEMBRO, S/N","77480000","CENTRO","ALVORADA","TO"
"023","27-0023","AVENIDA JOÃO DAMASCENO DE SÁ, N. 2017, ST. AEROPORTO","77710000","CENTRO","PEDRO AFONSO","TO"
"027","27-0027","AVENIDA JOAO OLIVEIRA VALADARES, S/N","77860000","CENTRO","WANDERLÂNDIA","TO"
"003","27-0003","AVENIDA LUIZ LEITE RIBEIRO, QUADRA A3, LOTE 7","77500000","SETOR AEROPORTO","PORTO NACIONAL","TO"
"013","27-0013","AVENIDA MADRE VERONICA, QD. 12, N 540, LOTES 1 E 2","77490000","CENTRO","CRISTALÂNDIA","TO"
"025","27-0025","AVENIDA MATO GROSSO QUADRA 24 LOTE 1A","77300000","CAVALCANTE","DIANÓPOLIS","TO"
"034","27-0034","AVENIDA NEIEF MURAD, QUADRA 01, LOTE 02","77824022","SETOR NOROESTE","ARAGUAÍNA","TO"
"001","27-0001","AVENIDA NEIF MURAD, QUADRA 01, LOTE 02","77824022","SETOR NOROESTE","ARAGUAÍNA","TO"
"022","27-0022","AVENIDA PALMAS, QD R1, LT 22,","77330000","ARNALDO PRIETO","ARRAIAS","TO"
"002","27-0002","AV ESPIRITO SANTO,N.1134, ENTRE AS RUAS JK E GETULIO VARGAS","77403100","CENTRO","GURUPI","TO"
"015","27-0015","AV HERMINIO A. SOARES - QD 53 - LT 01 - N 115 - ESQUINA COM RUA 10","77470000","CENTRO","FORMOSO DO ARAGUAIA","TO"
"032","27-0032","PRAÇA DR. FRANCISCO DELMONDES QUEZADO, S/N","77770000","CENTRO","GOIATINS","TO"
"029","27-0029","QUADRA 104 SUL, AVENIDA LO-01, NÚMERO 10","77020020","PLANO DIRETOR SUL","PALMAS","TO"
"011","27-0011","RODOVIA DARCY MARINHO, 480","77920000","VILA NOVA","ITAGUATINS","TO"
"004","27-0004","RUA 7, QD. 33-A, LT. 4","77760000","CENTRO","COLINAS DO TOCANTINS","TO"
"006","27-0006","RUA 8, QD. 15, LOTE 188, NR. 1133 - CENTRO","77700000","CENTRO","GUARAÍ","TO"
"019","27-0019","RUA A, QD 16,  LT 02, SETOR GINASIAL","77370000","SETOR GINASIAL","NATIVIDADE","TO"
"017","27-0017","RUA AIROSA DE SOUZA GODINHO S/N","77320000","SETOR INDUSTRIAL","TAGUATINGA","TO"
"021","27-0021","RUA ANTONIO DE SOUSA GOMES, S/N","77960000","CENTRO","AUGUSTINÓPOLIS","TO"
"007","27-0007","RUA ARAGUAIA, ESQ C/ AMÂNCIO DE MORAES - PÇA DO MERCADO","77600000","CENTRO","PARAÍSO DO TOCANTINS","TO"
"010","27-0010","RUA CASTELO BRANCO, 1168 - ESQ. C/ RUA GETÚLIO VARGAS","77950000","CENTRO","ARAGUATINS","TO"
"009","27-0009","RUA HORÁCIO NEGREIROS, 1.500 - SETOR AEROPORTO","77900000","CENTRO","TOCANTINÓPOLIS","TO"
"031","27-0031","RUA MATO GROSSO, N. 1444 (ESQUINA COM A AVENIDA CASTELO BRANCO)","77780000","CENTRO","ARAPOEMA","TO"
"005","27-0005","RUA OSVALDO VASCONCELOS, S/N, (PRAÇA DO FÓRUM)","77650000","CENTRO","MIRACEMA DO TOCANTINS","TO"
